sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mcox | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.169 | Public IP: 79.159.220.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:42 UTC Thu Jun 25 2020 | Duration: 1d 0h:08m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 287210075 | Bytes Rx: 73103665 | IP Addr: 10.145.232.169 | Public IP: 79.159.220.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:42 UTC Thu Jun 25 2020 | Duration: 1d 0h:08m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 287210075 | Bytes Rx: 73103665 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 125 | Audit Session ID: 0a9107280007d0005ef45806 | Security Group Tag: none | EasyVPN: 0 |Session ID: 125 | Audit Session ID: 0a9107280007d0005ef45806 | Security Group Tag: none | EasyVPN: 0 ||
Username: roopsing | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.180 | Public IP: 1.38.189.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:02:15 UTC Fri Jun 26 2020 | Duration: 4h:00m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 571012327 | Bytes Rx: 94758596 | IP Addr: 10.145.232.180 | Public IP: 1.38.189.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:02:15 UTC Fri Jun 26 2020 | Duration: 4h:00m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 571012327 | Bytes Rx: 94758596 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 395 | Audit Session ID: 0a9107280018b0005ef57347 | Security Group Tag: none | EasyVPN: 0 |Session ID: 395 | Audit Session ID: 0a9107280018b0005ef57347 | Security Group Tag: none | EasyVPN: 0 ||
Username: szalmijn | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.184 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:14:31 UTC Fri Jun 26 2020 | Duration: 3h:47m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 49511536 | Bytes Rx: 39062470 | IP Addr: 10.145.232.184 | Public IP: 84.87.62.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:14:31 UTC Fri Jun 26 2020 | Duration: 3h:47m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 49511536 | Bytes Rx: 39062470 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 398 | Audit Session ID: 0a9107280018e0005ef57627 | Security Group Tag: none | EasyVPN: 0 |Session ID: 398 | Audit Session ID: 0a9107280018e0005ef57627 | Security Group Tag: none | EasyVPN: 0 ||
Username: svemuri | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.185 | Public IP: 203.191.56.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:18:10 UTC Fri Jun 26 2020 | Duration: 3h:44m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 753706763 | Bytes Rx: 83346020 | IP Addr: 10.145.232.185 | Public IP: 203.191.56.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:18:10 UTC Fri Jun 26 2020 | Duration: 3h:44m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 753706763 | Bytes Rx: 83346020 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 399 | Audit Session ID: 0a9107280018f0005ef57702 | Security Group Tag: none | EasyVPN: 0 |Session ID: 399 | Audit Session ID: 0a9107280018f0005ef57702 | Security Group Tag: none | EasyVPN: 0 ||
Username: aritaban | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.186 | Public IP: 49.32.7.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:22:58 UTC Fri Jun 26 2020 | Duration: 3h:39m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 793992886 | Bytes Rx: 43667126 | IP Addr: 10.145.232.186 | Public IP: 49.32.7.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:22:58 UTC Fri Jun 26 2020 | Duration: 3h:39m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 793992886 | Bytes Rx: 43667126 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 400 | Audit Session ID: 0a910728001900005ef57822 | Security Group Tag: none | EasyVPN: 0 |Session ID: 400 | Audit Session ID: 0a910728001900005ef57822 | Security Group Tag: none | EasyVPN: 0 ||
Username: s.nieto | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.189 | Public IP: 92.153.250.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:25:26 UTC Fri Jun 26 2020 | Duration: 3h:36m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 116645756 | Bytes Rx: 55229107 | IP Addr: 10.145.232.189 | Public IP: 92.153.250.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:25:26 UTC Fri Jun 26 2020 | Duration: 3h:36m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 116645756 | Bytes Rx: 55229107 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 401 | Audit Session ID: 0a910728001910005ef578b6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 401 | Audit Session ID: 0a910728001910005ef578b6 | Security Group Tag: none | EasyVPN: 0 ||
Username: hmaran | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.78 | Public IP: 88.104.121.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:47:42 UTC Fri Jun 26 2020 | Duration: 3h:14m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 582773927 | Bytes Rx: 71199249 | IP Addr: 10.145.232.78 | Public IP: 88.104.121.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:47:42 UTC Fri Jun 26 2020 | Duration: 3h:14m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 582773927 | Bytes Rx: 71199249 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 405 | Audit Session ID: 0a910728001950005ef57dee | Security Group Tag: none | EasyVPN: 0 |Session ID: 405 | Audit Session ID: 0a910728001950005ef57dee | Security Group Tag: none | EasyVPN: 0 ||
Username: JJayaman | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.82 | Public IP: 42.109.146.117 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 04:48:59 UTC Fri Jun 26 2020 | Duration: 3h:13m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 50560958 | Bytes Rx: 21453814 | IP Addr: 10.145.232.82 | Public IP: 42.109.146.117 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 04:48:59 UTC Fri Jun 26 2020 | Duration: 3h:13m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 50560958 | Bytes Rx: 21453814 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 406 | Audit Session ID: 0a910728001960005ef57e3b | Security Group Tag: none | EasyVPN: 0 |Session ID: 406 | Audit Session ID: 0a910728001960005ef57e3b | Security Group Tag: none | EasyVPN: 0 ||
Username: dsengupt | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.83 | Public IP: 223.191.25.109 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:50:37 UTC Fri Jun 26 2020 | Duration: 3h:11m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 861316193 | Bytes Rx: 47221656 | IP Addr: 10.145.232.83 | Public IP: 223.191.25.109 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:50:37 UTC Fri Jun 26 2020 | Duration: 3h:11m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 861316193 | Bytes Rx: 47221656 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 407 | Audit Session ID: 0a910728001970005ef57e9d | Security Group Tag: none | EasyVPN: 0 |Session ID: 407 | Audit Session ID: 0a910728001970005ef57e9d | Security Group Tag: none | EasyVPN: 0 ||
Username: shaju.cherian | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.85 | Public IP: 103.221.72.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:53:18 UTC Fri Jun 26 2020 | Duration: 3h:08m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2083676874 | Bytes Rx: 216279457 | IP Addr: 10.145.232.85 | Public IP: 103.221.72.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:53:18 UTC Fri Jun 26 2020 | Duration: 3h:08m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2083676874 | Bytes Rx: 216279457 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 409 | Audit Session ID: 0a910728001990005ef57f3e | Security Group Tag: none | EasyVPN: 0 |Session ID: 409 | Audit Session ID: 0a910728001990005ef57f3e | Security Group Tag: none | EasyVPN: 0 ||
Username: Joostjan.vandijk | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.87 | Public IP: 80.56.109.138 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:57:13 UTC Fri Jun 26 2020 | Duration: 3h:05m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1135384230 | Bytes Rx: 206768048 | IP Addr: 10.145.232.87 | Public IP: 80.56.109.138 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:57:13 UTC Fri Jun 26 2020 | Duration: 3h:05m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1135384230 | Bytes Rx: 206768048 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 411 | Audit Session ID: 0a9107280019b0005ef58029 | Security Group Tag: none | EasyVPN: 0 |Session ID: 411 | Audit Session ID: 0a9107280019b0005ef58029 | Security Group Tag: none | EasyVPN: 0 ||
Username: raagarwa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.89 | Public IP: 106.210.182.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:00:54 UTC Fri Jun 26 2020 | Duration: 3h:01m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1031250129 | Bytes Rx: 85618630 | IP Addr: 10.145.232.89 | Public IP: 106.210.182.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:00:54 UTC Fri Jun 26 2020 | Duration: 3h:01m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1031250129 | Bytes Rx: 85618630 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 414 | Audit Session ID: 0a9107280019e0005ef58106 | Security Group Tag: none | EasyVPN: 0 |Session ID: 414 | Audit Session ID: 0a9107280019e0005ef58106 | Security Group Tag: none | EasyVPN: 0 ||
Username: ashenoy | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.84 | Public IP: 49.32.8.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:05:58 UTC Fri Jun 26 2020 | Duration: 2h:56m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 469613475 | Bytes Rx: 70456182 | IP Addr: 10.145.232.84 | Public IP: 49.32.8.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:05:58 UTC Fri Jun 26 2020 | Duration: 2h:56m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 469613475 | Bytes Rx: 70456182 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 418 | Audit Session ID: 0a910728001a20005ef58236 | Security Group Tag: none | EasyVPN: 0 |Session ID: 418 | Audit Session ID: 0a910728001a20005ef58236 | Security Group Tag: none | EasyVPN: 0 ||
Username: bsubbiah | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.81 | Public IP: 42.111.167.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:12:03 UTC Fri Jun 26 2020 | Duration: 2h:50m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1119098038 | Bytes Rx: 75812649 | IP Addr: 10.145.232.81 | Public IP: 42.111.167.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:12:03 UTC Fri Jun 26 2020 | Duration: 2h:50m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1119098038 | Bytes Rx: 75812649 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 421 | Audit Session ID: 0a910728001a50005ef583a3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 421 | Audit Session ID: 0a910728001a50005ef583a3 | Security Group Tag: none | EasyVPN: 0 ||
Username: APrakash | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.90 | Public IP: 157.50.124.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:14:14 UTC Fri Jun 26 2020 | Duration: 2h:48m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 121613672 | Bytes Rx: 29191935 | IP Addr: 10.145.232.90 | Public IP: 157.50.124.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:14:14 UTC Fri Jun 26 2020 | Duration: 2h:48m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 121613672 | Bytes Rx: 29191935 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 422 | Audit Session ID: 0a910728001a60005ef58426 | Security Group Tag: none | EasyVPN: 0 |Session ID: 422 | Audit Session ID: 0a910728001a60005ef58426 | Security Group Tag: none | EasyVPN: 0 ||
Username: sukeshbS | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.94 | Public IP: 1.39.131.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:15:04 UTC Fri Jun 26 2020 | Duration: 2h:47m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 91658944 | Bytes Rx: 39181147 | IP Addr: 10.145.232.94 | Public IP: 1.39.131.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:15:04 UTC Fri Jun 26 2020 | Duration: 2h:47m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 91658944 | Bytes Rx: 39181147 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 424 | Audit Session ID: 0a910728001a80005ef58458 | Security Group Tag: none | EasyVPN: 0 |Session ID: 424 | Audit Session ID: 0a910728001a80005ef58458 | Security Group Tag: none | EasyVPN: 0 ||
Username: vellur | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.91 | Public IP: 137.97.59.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:26:44 UTC Fri Jun 26 2020 | Duration: 2h:35m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 317593292 | Bytes Rx: 62892402 | IP Addr: 10.145.232.91 | Public IP: 137.97.59.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:26:44 UTC Fri Jun 26 2020 | Duration: 2h:35m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 317593292 | Bytes Rx: 62892402 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 430 | Audit Session ID: 0a910728001ae0005ef58714 | Security Group Tag: none | EasyVPN: 0 |Session ID: 430 | Audit Session ID: 0a910728001ae0005ef58714 | Security Group Tag: none | EasyVPN: 0 ||
Username: ctoon | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.97 | Public IP: 86.178.68.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:34:06 UTC Fri Jun 26 2020 | Duration: 2h:28m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 250621327 | Bytes Rx: 36684023 | IP Addr: 10.145.232.97 | Public IP: 86.178.68.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:34:06 UTC Fri Jun 26 2020 | Duration: 2h:28m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 250621327 | Bytes Rx: 36684023 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 433 | Audit Session ID: 0a910728001b10005ef588ce | Security Group Tag: none | EasyVPN: 0 |Session ID: 433 | Audit Session ID: 0a910728001b10005ef588ce | Security Group Tag: none | EasyVPN: 0 ||
Username: wschutt | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.103 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:45:52 UTC Fri Jun 26 2020 | Duration: 2h:16m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 147307582 | Bytes Rx: 50300008 | IP Addr: 10.145.232.103 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:45:52 UTC Fri Jun 26 2020 | Duration: 2h:16m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 147307582 | Bytes Rx: 50300008 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 437 | Audit Session ID: 0a910728001b50005ef58b90 | Security Group Tag: none | EasyVPN: 0 |Session ID: 437 | Audit Session ID: 0a910728001b50005ef58b90 | Security Group Tag: none | EasyVPN: 0 ||
Username: stmacmah | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.98 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:30 UTC Fri Jun 26 2020 | Duration: 2h:10m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 252465049 | Bytes Rx: 187996557 | IP Addr: 10.145.232.98 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:30 UTC Fri Jun 26 2020 | Duration: 2h:10m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 252465049 | Bytes Rx: 187996557 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 438 | Audit Session ID: 0a910728001b60005ef58ce2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 438 | Audit Session ID: 0a910728001b60005ef58ce2 | Security Group Tag: none | EasyVPN: 0 ||
Username: yvomaspa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.79 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:58 UTC Fri Jun 26 2020 | Duration: 2h:03m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 650954934 | Bytes Rx: 399435437 | IP Addr: 10.145.232.79 | Public IP: 84.28.197.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:58 UTC Fri Jun 26 2020 | Duration: 2h:03m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 650954934 | Bytes Rx: 399435437 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 440 | Audit Session ID: 0a910728001b80005ef58ea2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 440 | Audit Session ID: 0a910728001b80005ef58ea2 | Security Group Tag: none | EasyVPN: 0 ||
