sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: prangasa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.62 | Public IP: 157.46.28.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:55 IST Thu Jun 25 2020 | Duration: 20h:31m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 924517949 | Bytes Rx: 352641212 | IP Addr: 10.149.232.62 | Public IP: 157.46.28.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:55 IST Thu Jun 25 2020 | Duration: 20h:31m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 924517949 | Bytes Rx: 352641212 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172425 | Audit Session ID: 0a95072a2a1890005ef42627 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172425 | Audit Session ID: 0a95072a2a1890005ef42627 | Security Group Tag: none | EasyVPN: 0 ||
Username: surymuth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC21 | IP Addr: 10.149.248.107 | Public IP: 103.98.63.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:46:04 IST Thu Jun 25 2020 | Duration: 8h:35m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 319806342 | Bytes Rx: 154155327 | IP Addr: 10.149.248.107 | Public IP: 103.98.63.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:46:04 IST Thu Jun 25 2020 | Duration: 8h:35m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 319806342 | Bytes Rx: 154155327 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174330 | Audit Session ID: 0a95072a2a8fa0005ef4cdc4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174330 | Audit Session ID: 0a95072a2a8fa0005ef4cdc4 | Security Group Tag: none | EasyVPN: 0 ||
Username: DeSanaka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.25 | Public IP: 49.206.220.219 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:58:09 IST Thu Jun 25 2020 | Duration: 8h:23m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 557279396 | Bytes Rx: 100009313 | IP Addr: 10.149.232.25 | Public IP: 49.206.220.219 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:58:09 IST Thu Jun 25 2020 | Duration: 8h:23m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 557279396 | Bytes Rx: 100009313 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174340 | Audit Session ID: 0a95072a2a9040005ef4d099 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174340 | Audit Session ID: 0a95072a2a9040005ef4d099 | Security Group Tag: none | EasyVPN: 0 ||
Username: AnanShin | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.191 | Public IP: 202.136.71.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:13 IST Thu Jun 25 2020 | Duration: 8h:20m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 150201279 | Bytes Rx: 111320843 | IP Addr: 10.149.233.191 | Public IP: 202.136.71.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:13 IST Thu Jun 25 2020 | Duration: 8h:20m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 150201279 | Bytes Rx: 111320843 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174343 | Audit Session ID: 0a95072a2a9070005ef4d151 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174343 | Audit Session ID: 0a95072a2a9070005ef4d151 | Security Group Tag: none | EasyVPN: 0 ||
Username: pkamalak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.238 | Public IP: 157.50.127.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:11:51 IST Thu Jun 25 2020 | Duration: 8h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 560358089 | Bytes Rx: 59688055 | IP Addr: 10.149.232.238 | Public IP: 157.50.127.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:11:51 IST Thu Jun 25 2020 | Duration: 8h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 560358089 | Bytes Rx: 59688055 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174355 | Audit Session ID: 0a95072a2a9130005ef4d3cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 174355 | Audit Session ID: 0a95072a2a9130005ef4d3cf | Security Group Tag: none | EasyVPN: 0 ||
Username: bhgarge | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.7 | Public IP: 202.160.145.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:03 IST Thu Jun 25 2020 | Duration: 8h:07m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2032819235 | Bytes Rx: 1188113710 | IP Addr: 10.149.232.7 | Public IP: 202.160.145.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:03 IST Thu Jun 25 2020 | Duration: 8h:07m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2032819235 | Bytes Rx: 1188113710 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174360 | Audit Session ID: 0a95072a2a9180005ef4d453 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174360 | Audit Session ID: 0a95072a2a9180005ef4d453 | Security Group Tag: none | EasyVPN: 0 ||
Username: SHASHETH | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.85 | Public IP: 103.252.5.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:03:48 IST Thu Jun 25 2020 | Duration: 7h:18m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 612133579 | Bytes Rx: 188223487 | IP Addr: 10.149.233.85 | Public IP: 103.252.5.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:03:48 IST Thu Jun 25 2020 | Duration: 7h:18m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 612133579 | Bytes Rx: 188223487 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174433 | Audit Session ID: 0a95072a2a9610005ef4dffc | Security Group Tag: none | EasyVPN: 0 |Session ID: 174433 | Audit Session ID: 0a95072a2a9610005ef4dffc | Security Group Tag: none | EasyVPN: 0 ||
Username: shubhsri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.229 | Public IP: 122.163.210.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:56:10 IST Thu Jun 25 2020 | Duration: 6h:25m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 72690060 | Bytes Rx: 29993510 | IP Addr: 10.149.233.229 | Public IP: 122.163.210.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:56:10 IST Thu Jun 25 2020 | Duration: 6h:25m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 72690060 | Bytes Rx: 29993510 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174456 | Audit Session ID: 0a95072a2a9780005ef4ec42 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174456 | Audit Session ID: 0a95072a2a9780005ef4ec42 | Security Group Tag: none | EasyVPN: 0 ||
Username: kvadivel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.193 | Public IP: 157.50.192.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:01:50 IST Fri Jun 26 2020 | Duration: 6h:20m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 234922934 | Bytes Rx: 55887572 | IP Addr: 10.149.233.193 | Public IP: 157.50.192.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:01:50 IST Fri Jun 26 2020 | Duration: 6h:20m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 234922934 | Bytes Rx: 55887572 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174459 | Audit Session ID: 0a95072a2a97b0005ef4ed96 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174459 | Audit Session ID: 0a95072a2a97b0005ef4ed96 | Security Group Tag: none | EasyVPN: 0 ||
Username: SanjGaik | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.107 | Public IP: 106.78.200.50 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 03:41:14 IST Fri Jun 26 2020 | Duration: 2h:40m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 116705970 | Bytes Rx: 48840774 | IP Addr: 10.149.233.107 | Public IP: 106.78.200.50 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 03:41:14 IST Fri Jun 26 2020 | Duration: 2h:40m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 116705970 | Bytes Rx: 48840774 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174477 | Audit Session ID: 0a95072a2a98d0005ef52102 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174477 | Audit Session ID: 0a95072a2a98d0005ef52102 | Security Group Tag: none | EasyVPN: 0 ||
Username: perumkri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.58 | Public IP: 60.243.76.189 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:54:10 IST Fri Jun 26 2020 | Duration: 2h:27m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 233771012 | Bytes Rx: 237852988 | IP Addr: 10.149.232.58 | Public IP: 60.243.76.189 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:54:10 IST Fri Jun 26 2020 | Duration: 2h:27m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 233771012 | Bytes Rx: 237852988 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174478 | Audit Session ID: 0a95072a2a98e0005ef5240a | Security Group Tag: none | EasyVPN: 0 |Session ID: 174478 | Audit Session ID: 0a95072a2a98e0005ef5240a | Security Group Tag: none | EasyVPN: 0 ||
Username: ebinjohn | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.59 | Public IP: 103.66.79.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:01:07 IST Fri Jun 26 2020 | Duration: 2h:20m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 521425709 | Bytes Rx: 30141312 | IP Addr: 10.149.232.59 | Public IP: 103.66.79.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:01:07 IST Fri Jun 26 2020 | Duration: 2h:20m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 521425709 | Bytes Rx: 30141312 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174479 | Audit Session ID: 0a95072a2a98f0005ef525ab | Security Group Tag: none | EasyVPN: 0 |Session ID: 174479 | Audit Session ID: 0a95072a2a98f0005ef525ab | Security Group Tag: none | EasyVPN: 0 ||
Username: sivnatar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC6 | IP Addr: 10.149.248.102 | Public IP: 157.50.19.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:25 IST Fri Jun 26 2020 | Duration: 0h:34m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 40274199 | Bytes Rx: 23976593 | IP Addr: 10.149.248.102 | Public IP: 157.50.19.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:25 IST Fri Jun 26 2020 | Duration: 0h:34m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 40274199 | Bytes Rx: 23976593 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174482 | Audit Session ID: 0a95072a2a9920005ef53e95 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174482 | Audit Session ID: 0a95072a2a9920005ef53e95 | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr:  | Public IP: 122.174.211.198 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:56:56 IST Fri Jun 26 2020 | Duration: 0h:25m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | IP Addr:  | Public IP: 122.174.211.198 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:56:56 IST Fri Jun 26 2020 | Duration: 0h:25m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174483 | Audit Session ID: 0a95072a2a9930005ef540d0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174483 | Audit Session ID: 0a95072a2a9930005ef540d0 | Security Group Tag: none | EasyVPN: 0 ||
Username: dilligda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.89 | Public IP: 42.111.144.26 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:03:36 IST Fri Jun 26 2020 | Duration: 0h:18m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 189065705 | Bytes Rx: 7009290 | IP Addr: 10.149.232.89 | Public IP: 42.111.144.26 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:03:36 IST Fri Jun 26 2020 | Duration: 0h:18m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 189065705 | Bytes Rx: 7009290 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174486 | Audit Session ID: 0a95072a2a9960005ef54260 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174486 | Audit Session ID: 0a95072a2a9960005ef54260 | Security Group Tag: none | EasyVPN: 0 ||
Username: bsudalai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.91 | Public IP: 157.46.14.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:15 IST Fri Jun 26 2020 | Duration: 0h:14m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 4421878 | Bytes Rx: 1056684 | IP Addr: 10.149.232.91 | Public IP: 157.46.14.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:15 IST Fri Jun 26 2020 | Duration: 0h:14m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 4421878 | Bytes Rx: 1056684 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174487 | Audit Session ID: 0a95072a2a9970005ef5433b | Security Group Tag: none | EasyVPN: 0 |Session ID: 174487 | Audit Session ID: 0a95072a2a9970005ef5433b | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.92 | Public IP: 157.48.221.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:35 IST Fri Jun 26 2020 | Duration: 0h:08m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 5445016 | Bytes Rx: 1713089 | IP Addr: 10.149.232.92 | Public IP: 157.48.221.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:35 IST Fri Jun 26 2020 | Duration: 0h:08m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 5445016 | Bytes Rx: 1713089 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174488 | Audit Session ID: 0a95072a2a9980005ef544b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174488 | Audit Session ID: 0a95072a2a9980005ef544b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: dilligda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.4 | Public IP: 42.111.146.93 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:14:54 IST Fri Jun 26 2020 | Duration: 0h:07m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 42795398 | Bytes Rx: 3285738 | IP Addr: 10.149.232.4 | Public IP: 42.111.146.93 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:14:54 IST Fri Jun 26 2020 | Duration: 0h:07m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 42795398 | Bytes Rx: 3285738 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174489 | Audit Session ID: 0a95072a2a9990005ef54506 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174489 | Audit Session ID: 0a95072a2a9990005ef54506 | Security Group Tag: none | EasyVPN: 0 ||
Username: mdachepa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr:  | Public IP: 157.46.250.180 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:19:41 IST Fri Jun 26 2020 | Duration: 0h:02m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | IP Addr:  | Public IP: 157.46.250.180 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:19:41 IST Fri Jun 26 2020 | Duration: 0h:02m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174490 | Audit Session ID: 0a95072a2a99a0005ef54625 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174490 | Audit Session ID: 0a95072a2a99a0005ef54625 | Security Group Tag: none | EasyVPN: 0 ||
Username: mdachepa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.5 | Public IP: 157.46.250.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:07 IST Fri Jun 26 2020 | Duration: 0h:01m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 2098798 | Bytes Rx: 357205 | IP Addr: 10.149.232.5 | Public IP: 157.46.250.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:07 IST Fri Jun 26 2020 | Duration: 0h:01m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 2098798 | Bytes Rx: 357205 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174491 | Audit Session ID: 0a95072a2a99b0005ef5463f | Security Group Tag: none | EasyVPN: 0 |Session ID: 174491 | Audit Session ID: 0a95072a2a99b0005ef5463f | Security Group Tag: none | EasyVPN: 0 ||
Username: SanjGaik | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.6 | Public IP: 106.78.200.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:11 IST Fri Jun 26 2020 | Duration: 0h:01m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 15790220 | Bytes Rx: 1835382 | IP Addr: 10.149.232.6 | Public IP: 106.78.200.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:11 IST Fri Jun 26 2020 | Duration: 0h:01m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 15790220 | Bytes Rx: 1835382 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174492 | Audit Session ID: 0a95072a2a99c0005ef54643 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174492 | Audit Session ID: 0a95072a2a99c0005ef54643 | Security Group Tag: none | EasyVPN: 0 ||
INCHNACVPN01# 
