sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: srobinso | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.28 | Public IP: 70.48.80.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:01:04 GMT Mon Jul 13 2020 | Duration: 7d 1h:59m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 2654078232 | Bytes Rx: 937354877 | IP Addr: 10.144.232.28 | Public IP: 70.48.80.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:01:04 GMT Mon Jul 13 2020 | Duration: 7d 1h:59m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 2654078232 | Bytes Rx: 937354877 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151 | Audit Session ID: 0a90076b000970005f0bb250 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151 | Audit Session ID: 0a90076b000970005f0bb250 | Security Group Tag: none | EasyVPN: 0 ||
Username: carlosb | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.106 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:03:47 GMT Thu Jul 16 2020 | Duration: 3d 13h:56m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 2821492643 | Bytes Rx: 1393703197 | IP Addr: 10.144.232.106 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:03:47 GMT Thu Jul 16 2020 | Duration: 3d 13h:56m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 2821492643 | Bytes Rx: 1393703197 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1611 | Audit Session ID: 0a90076b0064b0005f105033 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1611 | Audit Session ID: 0a90076b0064b0005f105033 | Security Group Tag: none | EasyVPN: 0 ||
Username: jlutz | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.35 | Public IP: 108.18.151.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:54:19 GMT Thu Jul 16 2020 | Duration: 3d 12h:06m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 859017290 | Bytes Rx: 150111892 | IP Addr: 10.144.232.35 | Public IP: 108.18.151.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:54:19 GMT Thu Jul 16 2020 | Duration: 3d 12h:06m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 859017290 | Bytes Rx: 150111892 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1676 | Audit Session ID: 0a90076b0068c0005f106a1b | Security Group Tag: none | EasyVPN: 0 |Session ID: 1676 | Audit Session ID: 0a90076b0068c0005f106a1b | Security Group Tag: none | EasyVPN: 0 ||
Username: mschneider | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.72 | Public IP: 67.168.104.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 16:59:59 GMT Thu Jul 16 2020 | Duration: 3d 10h:00m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 2122549840 | Bytes Rx: 1093829113 | IP Addr: 10.144.232.72 | Public IP: 67.168.104.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 16:59:59 GMT Thu Jul 16 2020 | Duration: 3d 10h:00m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 2122549840 | Bytes Rx: 1093829113 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1705 | Audit Session ID: 0a90076b006a90005f10878f | Security Group Tag: none | EasyVPN: 0 |Session ID: 1705 | Audit Session ID: 0a90076b006a90005f10878f | Security Group Tag: none | EasyVPN: 0 ||
Username: kthomask | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.94 | Public IP: 69.139.86.128 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:31:24 GMT Thu Jul 16 2020 | Duration: 3d 9h:28m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 6389040023 | Bytes Rx: 2180491017 | IP Addr: 10.144.230.94 | Public IP: 69.139.86.128 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:31:24 GMT Thu Jul 16 2020 | Duration: 3d 9h:28m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 6389040023 | Bytes Rx: 2180491017 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1714 | Audit Session ID: 0a90076b006b20005f108eec | Security Group Tag: none | EasyVPN: 0 |Session ID: 1714 | Audit Session ID: 0a90076b006b20005f108eec | Security Group Tag: none | EasyVPN: 0 ||
Username: hosman | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.145 | Public IP: 73.116.58.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:25:24 GMT Fri Jul 17 2020 | Duration: 2d 14h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 485858616 | Bytes Rx: 156106765 | IP Addr: 10.144.232.145 | Public IP: 73.116.58.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:25:24 GMT Fri Jul 17 2020 | Duration: 2d 14h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 485858616 | Bytes Rx: 156106765 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2002 | Audit Session ID: 0a90076b007d20005f1198b4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2002 | Audit Session ID: 0a90076b007d20005f1198b4 | Security Group Tag: none | EasyVPN: 0 ||
Username: mnurujja | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.159 | Public IP: 24.0.155.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:02:56 GMT Fri Jul 17 2020 | Duration: 2d 13h:57m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 6221320872 | Bytes Rx: 3196174546 | IP Addr: 10.144.232.159 | Public IP: 24.0.155.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:02:56 GMT Fri Jul 17 2020 | Duration: 2d 13h:57m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 6221320872 | Bytes Rx: 3196174546 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2035 | Audit Session ID: 0a90076b007f30005f11a180 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2035 | Audit Session ID: 0a90076b007f30005f11a180 | Security Group Tag: none | EasyVPN: 0 ||
Username: k.landy | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.97 | Public IP: 24.21.254.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:55:35 GMT Fri Jul 17 2020 | Duration: 2d 12h:04m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1628982800 | Bytes Rx: 1491728655 | IP Addr: 10.144.230.97 | Public IP: 24.21.254.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:55:35 GMT Fri Jul 17 2020 | Duration: 2d 12h:04m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1628982800 | Bytes Rx: 1491728655 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2086 | Audit Session ID: 0a90076b008260005f11bbe7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2086 | Audit Session ID: 0a90076b008260005f11bbe7 | Security Group Tag: none | EasyVPN: 0 ||
Username: johnlee | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.111 | Public IP: 24.19.144.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 15:54:14 GMT Fri Jul 17 2020 | Duration: 2d 11h:06m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 324078864 | Bytes Rx: 138657334 | IP Addr: 10.144.232.111 | Public IP: 24.19.144.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 15:54:14 GMT Fri Jul 17 2020 | Duration: 2d 11h:06m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 324078864 | Bytes Rx: 138657334 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2106 | Audit Session ID: 0a90076b0083a0005f11c9a6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2106 | Audit Session ID: 0a90076b0083a0005f11c9a6 | Security Group Tag: none | EasyVPN: 0 ||
Username: RTjan | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.92 | Public IP: 70.106.222.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:24:38 GMT Sat Jul 18 2020 | Duration: 1d 9h:35m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 129193423 | Bytes Rx: 79726210 | IP Addr: 10.144.232.92 | Public IP: 70.106.222.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:24:38 GMT Sat Jul 18 2020 | Duration: 1d 9h:35m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 129193423 | Bytes Rx: 79726210 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2344 | Audit Session ID: 0a90076b009280005f133056 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2344 | Audit Session ID: 0a90076b009280005f133056 | Security Group Tag: none | EasyVPN: 0 ||
Username: edobinda | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.139 | Public IP: 70.82.26.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:56:02 GMT Sat Jul 18 2020 | Duration: 1d 9h:04m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 464400190 | Bytes Rx: 264681147 | IP Addr: 10.144.232.139 | Public IP: 70.82.26.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 17:56:02 GMT Sat Jul 18 2020 | Duration: 1d 9h:04m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 464400190 | Bytes Rx: 264681147 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2347 | Audit Session ID: 0a90076b0092b0005f1337b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2347 | Audit Session ID: 0a90076b0092b0005f1337b2 | Security Group Tag: none | EasyVPN: 0 ||
Username: trydzyns | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.140 | Public IP: 67.248.108.84 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:46:18 GMT Sun Jul 19 2020 | Duration: 14h:14m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 95580497 | Bytes Rx: 59204361 | IP Addr: 10.144.232.140 | Public IP: 67.248.108.84 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:46:18 GMT Sun Jul 19 2020 | Duration: 14h:14m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 95580497 | Bytes Rx: 59204361 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2424 | Audit Session ID: 0a90076b009780005f14409a | Security Group Tag: none | EasyVPN: 0 |Session ID: 2424 | Audit Session ID: 0a90076b009780005f14409a | Security Group Tag: none | EasyVPN: 0 ||
Username: drambert | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.109 | Public IP: 68.81.59.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 16:51:35 GMT Sun Jul 19 2020 | Duration: 10h:08m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 405877171 | Bytes Rx: 209730339 | IP Addr: 10.144.232.109 | Public IP: 68.81.59.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 16:51:35 GMT Sun Jul 19 2020 | Duration: 10h:08m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 405877171 | Bytes Rx: 209730339 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2446 | Audit Session ID: 0a90076b0098e0005f147a17 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2446 | Audit Session ID: 0a90076b0098e0005f147a17 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgelly | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.144 | Public IP: 174.51.171.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 22:23:21 GMT Sun Jul 19 2020 | Duration: 4h:36m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 66972052 | Bytes Rx: 24165466 | IP Addr: 10.144.232.144 | Public IP: 174.51.171.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 22:23:21 GMT Sun Jul 19 2020 | Duration: 4h:36m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 66972052 | Bytes Rx: 24165466 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2465 | Audit Session ID: 0a90076b009a10005f14c7d9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2465 | Audit Session ID: 0a90076b009a10005f14c7d9 | Security Group Tag: none | EasyVPN: 0 ||
Username: ctakacs | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.146 | Public IP: 174.226.140.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 22:26:05 GMT Sun Jul 19 2020 | Duration: 4h:34m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 138093189 | Bytes Rx: 20738159 | IP Addr: 10.144.232.146 | Public IP: 174.226.140.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 22:26:05 GMT Sun Jul 19 2020 | Duration: 4h:34m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 138093189 | Bytes Rx: 20738159 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2466 | Audit Session ID: 0a90076b009a20005f14c87d | Security Group Tag: none | EasyVPN: 0 |Session ID: 2466 | Audit Session ID: 0a90076b009a20005f14c87d | Security Group Tag: none | EasyVPN: 0 ||
Username: cchano | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.143 | Public IP: 47.18.244.82 | Protocol: AnyConnect-Parent | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 23:00:52 GMT Sun Jul 19 2020 | Duration: 3h:59m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 289558432 | Bytes Rx: 42149158 | IP Addr: 10.144.232.143 | Public IP: 47.18.244.82 | Protocol: AnyConnect-Parent | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 23:00:52 GMT Sun Jul 19 2020 | Duration: 3h:59m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 289558432 | Bytes Rx: 42149158 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2467 | Audit Session ID: 0a90076b009a30005f14d0a4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2467 | Audit Session ID: 0a90076b009a30005f14d0a4 | Security Group Tag: none | EasyVPN: 0 ||
Username: kkomuro | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.55 | Public IP: 180.87.49.36 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 00:00:29 GMT Mon Jul 20 2020 | Duration: 2h:59m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 69916771 | Bytes Rx: 43404932 | IP Addr: 10.144.230.55 | Public IP: 180.87.49.36 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 00:00:29 GMT Mon Jul 20 2020 | Duration: 2h:59m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 69916771 | Bytes Rx: 43404932 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2470 | Audit Session ID: 0a90076b009a60005f14de9d | Security Group Tag: none | EasyVPN: 0 |Session ID: 2470 | Audit Session ID: 0a90076b009a60005f14de9d | Security Group Tag: none | EasyVPN: 0 ||
Username: ycheng | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.147 | Public IP: 1.144.108.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:37:40 GMT Mon Jul 20 2020 | Duration: 2h:22m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 547249244 | Bytes Rx: 52542310 | IP Addr: 10.144.232.147 | Public IP: 1.144.108.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:37:40 GMT Mon Jul 20 2020 | Duration: 2h:22m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 547249244 | Bytes Rx: 52542310 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2474 | Audit Session ID: 0a90076b009aa0005f14e754 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2474 | Audit Session ID: 0a90076b009aa0005f14e754 | Security Group Tag: none | EasyVPN: 0 ||
Username: habdul | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.148 | Public IP: 72.205.43.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:41:26 GMT Mon Jul 20 2020 | Duration: 2h:18m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 134363894 | Bytes Rx: 68538140 | IP Addr: 10.144.232.148 | Public IP: 72.205.43.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:41:26 GMT Mon Jul 20 2020 | Duration: 2h:18m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 134363894 | Bytes Rx: 68538140 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2475 | Audit Session ID: 0a90076b009ab0005f14e836 | Security Group Tag: none | EasyVPN: 0 |Session ID: 2475 | Audit Session ID: 0a90076b009ab0005f14e836 | Security Group Tag: none | EasyVPN: 0 ||
Username: APrakash | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.154 | Public IP: 106.203.90.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:15:27 GMT Mon Jul 20 2020 | Duration: 1h:44m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 99790750 | Bytes Rx: 19147803 | IP Addr: 10.144.232.154 | Public IP: 106.203.90.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:15:27 GMT Mon Jul 20 2020 | Duration: 1h:44m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 99790750 | Bytes Rx: 19147803 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2481 | Audit Session ID: 0a90076b009b10005f14f02f | Security Group Tag: none | EasyVPN: 0 |Session ID: 2481 | Audit Session ID: 0a90076b009b10005f14f02f | Security Group Tag: none | EasyVPN: 0 ||
Username: e.dudas | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.56 | Public IP: 199.202.33.7 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 01:26:18 GMT Mon Jul 20 2020 | Duration: 1h:34m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 964281740 | Bytes Rx: 127519804 | IP Addr: 10.144.230.56 | Public IP: 199.202.33.7 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 01:26:18 GMT Mon Jul 20 2020 | Duration: 1h:34m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 964281740 | Bytes Rx: 127519804 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 2482 | Audit Session ID: 0a90076b009b20005f14f2ba | Security Group Tag: none | EasyVPN: 0 |Session ID: 2482 | Audit Session ID: 0a90076b009b20005f14f2ba | Security Group Tag: none | EasyVPN: 0 ||
