sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rip | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 16h:29m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 12928721675 | Bytes Rx: 3076847873 | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 16h:29m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 12928721675 | Bytes Rx: 3076847873 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 |Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 ||
Username: verma.aman | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.151 | Public IP: 1.38.44.54 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 02:03:10 UTC Sat Jul 18 2020 | Duration: 2d 2h:27m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1119119101 | Bytes Rx: 133464156 | IP Addr: 10.145.233.151 | Public IP: 1.38.44.54 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 02:03:10 UTC Sat Jul 18 2020 | Duration: 2d 2h:27m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1119119101 | Bytes Rx: 133464156 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7579 | Audit Session ID: 0a91072801d9b0005f12585e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7579 | Audit Session ID: 0a91072801d9b0005f12585e | Security Group Tag: none | EasyVPN: 0 ||
Username: pankchau | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.160 | Public IP: 1.38.148.22 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:14:21 UTC Sat Jul 18 2020 | Duration: 1d 22h:15m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 355104459 | Bytes Rx: 251538528 | IP Addr: 10.145.233.160 | Public IP: 1.38.148.22 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:14:21 UTC Sat Jul 18 2020 | Duration: 1d 22h:15m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 355104459 | Bytes Rx: 251538528 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7644 | Audit Session ID: 0a91072801ddc0005f12933d | Security Group Tag: none | EasyVPN: 0 |Session ID: 7644 | Audit Session ID: 0a91072801ddc0005f12933d | Security Group Tag: none | EasyVPN: 0 ||
Username: verma.aman | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.191 | Public IP: 1.38.41.211 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:02:05 UTC Sun Jul 19 2020 | Duration: 21h:28m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 337709523 | Bytes Rx: 59689298 | IP Addr: 10.145.233.191 | Public IP: 1.38.41.211 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:02:05 UTC Sun Jul 19 2020 | Duration: 21h:28m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 337709523 | Bytes Rx: 59689298 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7770 | Audit Session ID: 0a91072801e5a0005f13efed | Security Group Tag: none | EasyVPN: 0 |Session ID: 7770 | Audit Session ID: 0a91072801e5a0005f13efed | Security Group Tag: none | EasyVPN: 0 ||
Username: bkdesai | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: Jabber | IP Addr: 10.145.248.34 | Public IP: 85.211.149.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:44:06 UTC Sun Jul 19 2020 | Duration: 11h:46m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 321451685 | Bytes Rx: 36716406 | IP Addr: 10.145.248.34 | Public IP: 85.211.149.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:44:06 UTC Sun Jul 19 2020 | Duration: 11h:46m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 321451685 | Bytes Rx: 36716406 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7871 | Audit Session ID: 0a91072801ebf0005f147856 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7871 | Audit Session ID: 0a91072801ebf0005f147856 | Security Group Tag: none | EasyVPN: 0 ||
Username: dougktl | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.207 | Public IP: 151.225.58.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:55:04 UTC Sun Jul 19 2020 | Duration: 11h:35m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 159541906 | Bytes Rx: 120445083 | IP Addr: 10.145.233.207 | Public IP: 151.225.58.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:55:04 UTC Sun Jul 19 2020 | Duration: 11h:35m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 159541906 | Bytes Rx: 120445083 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7874 | Audit Session ID: 0a91072801ec20005f147ae8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7874 | Audit Session ID: 0a91072801ec20005f147ae8 | Security Group Tag: none | EasyVPN: 0 ||
Username: scui | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.211 | Public IP: 111.201.49.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:26:26 UTC Mon Jul 20 2020 | Duration: 4h:03m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 82510008 | Bytes Rx: 29643772 | IP Addr: 10.145.233.211 | Public IP: 111.201.49.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:26:26 UTC Mon Jul 20 2020 | Duration: 4h:03m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 82510008 | Bytes Rx: 29643772 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7911 | Audit Session ID: 0a91072801ee70005f14e4b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7911 | Audit Session ID: 0a91072801ee70005f14e4b2 | Security Group Tag: none | EasyVPN: 0 ||
Username: suchdey | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.212 | Public IP: 157.33.141.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:23:39 UTC Mon Jul 20 2020 | Duration: 3h:06m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 114096064 | Bytes Rx: 107949259 | IP Addr: 10.145.233.212 | Public IP: 157.33.141.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:23:39 UTC Mon Jul 20 2020 | Duration: 3h:06m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 114096064 | Bytes Rx: 107949259 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7912 | Audit Session ID: 0a91072801ee80005f14f21b | Security Group Tag: none | EasyVPN: 0 |Session ID: 7912 | Audit Session ID: 0a91072801ee80005f14f21b | Security Group Tag: none | EasyVPN: 0 ||
Username: kachandr | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.213 | Public IP: 27.62.59.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:39:28 UTC Mon Jul 20 2020 | Duration: 2h:50m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 184004454 | Bytes Rx: 26859511 | IP Addr: 10.145.233.213 | Public IP: 27.62.59.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:39:28 UTC Mon Jul 20 2020 | Duration: 2h:50m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 184004454 | Bytes Rx: 26859511 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7915 | Audit Session ID: 0a91072801eeb0005f14f5d0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7915 | Audit Session ID: 0a91072801eeb0005f14f5d0 | Security Group Tag: none | EasyVPN: 0 ||
Username: pramodku | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.214 | Public IP: 42.111.34.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:05:15 UTC Mon Jul 20 2020 | Duration: 1h:24m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 234152816 | Bytes Rx: 51401442 | IP Addr: 10.145.233.214 | Public IP: 42.111.34.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:05:15 UTC Mon Jul 20 2020 | Duration: 1h:24m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 234152816 | Bytes Rx: 51401442 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7917 | Audit Session ID: 0a91072801eed0005f1509eb | Security Group Tag: none | EasyVPN: 0 |Session ID: 7917 | Audit Session ID: 0a91072801eed0005f1509eb | Security Group Tag: none | EasyVPN: 0 ||
Username: Yinamdar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.216 | Public IP: 42.108.227.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:02 UTC Mon Jul 20 2020 | Duration: 1h:20m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 140073938 | Bytes Rx: 31708863 | IP Addr: 10.145.233.216 | Public IP: 42.108.227.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:02 UTC Mon Jul 20 2020 | Duration: 1h:20m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 140073938 | Bytes Rx: 31708863 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7919 | Audit Session ID: 0a91072801eef0005f150b0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 7919 | Audit Session ID: 0a91072801eef0005f150b0a | Security Group Tag: none | EasyVPN: 0 ||
Username: zLiu | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.209 | Public IP: 123.123.132.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:28:25 UTC Mon Jul 20 2020 | Duration: 1h:01m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 474877625 | Bytes Rx: 35098419 | IP Addr: 10.145.233.209 | Public IP: 123.123.132.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:28:25 UTC Mon Jul 20 2020 | Duration: 1h:01m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 474877625 | Bytes Rx: 35098419 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7921 | Audit Session ID: 0a91072801ef10005f150f59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7921 | Audit Session ID: 0a91072801ef10005f150f59 | Security Group Tag: none | EasyVPN: 0 ||
Username: Binu | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.215 | Public IP: 42.106.181.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:36:35 UTC Mon Jul 20 2020 | Duration: 0h:53m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 108551973 | Bytes Rx: 32212480 | IP Addr: 10.145.233.215 | Public IP: 42.106.181.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:36:35 UTC Mon Jul 20 2020 | Duration: 0h:53m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 108551973 | Bytes Rx: 32212480 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7924 | Audit Session ID: 0a91072801ef40005f151143 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7924 | Audit Session ID: 0a91072801ef40005f151143 | Security Group Tag: none | EasyVPN: 0 ||
Username: subbhatt | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.218 | Public IP: 42.108.227.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:37:23 UTC Mon Jul 20 2020 | Duration: 0h:52m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 38348444 | Bytes Rx: 8375486 | IP Addr: 10.145.233.218 | Public IP: 42.108.227.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:37:23 UTC Mon Jul 20 2020 | Duration: 0h:52m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 38348444 | Bytes Rx: 8375486 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7925 | Audit Session ID: 0a91072801ef50005f151173 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7925 | Audit Session ID: 0a91072801ef50005f151173 | Security Group Tag: none | EasyVPN: 0 ||
Username: amityada | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.219 | Public IP: 1.39.192.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:38:00 UTC Mon Jul 20 2020 | Duration: 0h:52m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 9019579 | Bytes Rx: 4237346 | IP Addr: 10.145.233.219 | Public IP: 1.39.192.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:38:00 UTC Mon Jul 20 2020 | Duration: 0h:52m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 9019579 | Bytes Rx: 4237346 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7926 | Audit Session ID: 0a91072801ef60005f151198 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7926 | Audit Session ID: 0a91072801ef60005f151198 | Security Group Tag: none | EasyVPN: 0 ||
Username: hganapat | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.220 | Public IP: 42.111.164.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:41:52 UTC Mon Jul 20 2020 | Duration: 0h:48m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 67847796 | Bytes Rx: 15301026 | IP Addr: 10.145.233.220 | Public IP: 42.111.164.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:41:52 UTC Mon Jul 20 2020 | Duration: 0h:48m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 67847796 | Bytes Rx: 15301026 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7927 | Audit Session ID: 0a91072801ef70005f151280 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7927 | Audit Session ID: 0a91072801ef70005f151280 | Security Group Tag: none | EasyVPN: 0 ||
Username: rdevikar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.221 | Public IP: 106.193.223.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:50:24 UTC Mon Jul 20 2020 | Duration: 0h:39m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 41084108 | Bytes Rx: 32537485 | IP Addr: 10.145.233.221 | Public IP: 106.193.223.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:50:24 UTC Mon Jul 20 2020 | Duration: 0h:39m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 41084108 | Bytes Rx: 32537485 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7928 | Audit Session ID: 0a91072801ef80005f151480 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7928 | Audit Session ID: 0a91072801ef80005f151480 | Security Group Tag: none | EasyVPN: 0 ||
Username: srraghav | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.222 | Public IP: 42.111.138.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:54:48 UTC Mon Jul 20 2020 | Duration: 0h:35m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 85979618 | Bytes Rx: 8192310 | IP Addr: 10.145.233.222 | Public IP: 42.111.138.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:54:48 UTC Mon Jul 20 2020 | Duration: 0h:35m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 85979618 | Bytes Rx: 8192310 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7929 | Audit Session ID: 0a91072801ef90005f151588 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7929 | Audit Session ID: 0a91072801ef90005f151588 | Security Group Tag: none | EasyVPN: 0 ||
Username: JabasG | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.217 | Public IP: 157.48.200.4 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 03:58:52 UTC Mon Jul 20 2020 | Duration: 0h:31m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 150564290 | Bytes Rx: 12005605 | IP Addr: 10.145.233.217 | Public IP: 157.48.200.4 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 03:58:52 UTC Mon Jul 20 2020 | Duration: 0h:31m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 150564290 | Bytes Rx: 12005605 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7930 | Audit Session ID: 0a91072801efa0005f15167c | Security Group Tag: none | EasyVPN: 0 |Session ID: 7930 | Audit Session ID: 0a91072801efa0005f15167c | Security Group Tag: none | EasyVPN: 0 ||
Username: Nmalik | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.223 | Public IP: 203.81.240.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:06:55 UTC Mon Jul 20 2020 | Duration: 0h:23m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 13211299 | Bytes Rx: 3320885 | IP Addr: 10.145.233.223 | Public IP: 203.81.240.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:06:55 UTC Mon Jul 20 2020 | Duration: 0h:23m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 13211299 | Bytes Rx: 3320885 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7931 | Audit Session ID: 0a91072801efb0005f15185f | Security Group Tag: none | EasyVPN: 0 |Session ID: 7931 | Audit Session ID: 0a91072801efb0005f15185f | Security Group Tag: none | EasyVPN: 0 ||
Username: ashoyada | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.224 | Public IP: 49.32.29.210 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 04:13:05 UTC Mon Jul 20 2020 | Duration: 0h:17m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 6262390 | Bytes Rx: 3997875 | IP Addr: 10.145.233.224 | Public IP: 49.32.29.210 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 04:13:05 UTC Mon Jul 20 2020 | Duration: 0h:17m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 6262390 | Bytes Rx: 3997875 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7932 | Audit Session ID: 0a91072801efc0005f1519d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7932 | Audit Session ID: 0a91072801efc0005f1519d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: amit.kale | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.226 | Public IP: 42.106.100.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:17:16 UTC Mon Jul 20 2020 | Duration: 0h:12m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 216959009 | Bytes Rx: 9236006 | IP Addr: 10.145.233.226 | Public IP: 42.106.100.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:17:16 UTC Mon Jul 20 2020 | Duration: 0h:12m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 216959009 | Bytes Rx: 9236006 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7933 | Audit Session ID: 0a91072801efd0005f151acc | Security Group Tag: none | EasyVPN: 0 |Session ID: 7933 | Audit Session ID: 0a91072801efd0005f151acc | Security Group Tag: none | EasyVPN: 0 ||
