sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PrJhadav | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.208 | Public IP: 49.35.206.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:19:48 IST Sun Jun 7 2020 | Duration: 9h:41m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 20248651583 | Bytes Rx: 1073771742 | IP Addr: 10.149.232.208 | Public IP: 49.35.206.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:19:48 IST Sun Jun 7 2020 | Duration: 9h:41m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 20248651583 | Bytes Rx: 1073771742 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138399 | Audit Session ID: 0a95072a21c9f0005edd28bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 138399 | Audit Session ID: 0a95072a21c9f0005edd28bc | Security Group Tag: none | EasyVPN: 0 ||
Username: Usabalka | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.200 | Public IP: 157.47.50.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:36 IST Mon Jun 8 2020 | Duration: 1h:53m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 353166097 | Bytes Rx: 272125529 | IP Addr: 10.149.232.200 | Public IP: 157.47.50.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:36 IST Mon Jun 8 2020 | Duration: 1h:53m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 353166097 | Bytes Rx: 272125529 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138518 | Audit Session ID: 0a95072a21d160005edd9660 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138518 | Audit Session ID: 0a95072a21d160005edd9660 | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.228 | Public IP: 157.45.185.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:47 IST Mon Jun 8 2020 | Duration: 1h:43m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 33264414 | Bytes Rx: 19556911 | IP Addr: 10.149.233.228 | Public IP: 157.45.185.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:47 IST Mon Jun 8 2020 | Duration: 1h:43m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 33264414 | Bytes Rx: 19556911 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138520 | Audit Session ID: 0a95072a21d180005edd98c3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138520 | Audit Session ID: 0a95072a21d180005edd98c3 | Security Group Tag: none | EasyVPN: 0 ||
Username: Mpopale | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.195 | Public IP: 106.78.179.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:18:25 IST Mon Jun 8 2020 | Duration: 1h:42m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 85984261 | Bytes Rx: 46412403 | IP Addr: 10.149.232.195 | Public IP: 106.78.179.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:18:25 IST Mon Jun 8 2020 | Duration: 1h:42m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 85984261 | Bytes Rx: 46412403 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138521 | Audit Session ID: 0a95072a21d190005edd98e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138521 | Audit Session ID: 0a95072a21d190005edd98e9 | Security Group Tag: none | EasyVPN: 0 ||
Username: purnimam | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.218 | Public IP: 182.65.161.13 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:21:23 IST Mon Jun 8 2020 | Duration: 1h:39m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 53225523 | Bytes Rx: 16760124 | IP Addr: 10.149.233.218 | Public IP: 182.65.161.13 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:21:23 IST Mon Jun 8 2020 | Duration: 1h:39m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 53225523 | Bytes Rx: 16760124 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138522 | Audit Session ID: 0a95072a21d1a0005edd999b | Security Group Tag: none | EasyVPN: 0 |Session ID: 138522 | Audit Session ID: 0a95072a21d1a0005edd999b | Security Group Tag: none | EasyVPN: 0 ||
Username: vvdesai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.199 | Public IP: 103.110.255.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:24:41 IST Mon Jun 8 2020 | Duration: 1h:36m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 94860583 | Bytes Rx: 21200177 | IP Addr: 10.149.233.199 | Public IP: 103.110.255.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:24:41 IST Mon Jun 8 2020 | Duration: 1h:36m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 94860583 | Bytes Rx: 21200177 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138524 | Audit Session ID: 0a95072a21d1c0005edd9a61 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138524 | Audit Session ID: 0a95072a21d1c0005edd9a61 | Security Group Tag: none | EasyVPN: 0 ||
Username: kvadivel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.202 | Public IP: 157.46.41.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:36 IST Mon Jun 8 2020 | Duration: 1h:35m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 145849651 | Bytes Rx: 28199672 | IP Addr: 10.149.233.202 | Public IP: 157.46.41.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:36 IST Mon Jun 8 2020 | Duration: 1h:35m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 145849651 | Bytes Rx: 28199672 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138526 | Audit Session ID: 0a95072a21d1e0005edd9a98 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138526 | Audit Session ID: 0a95072a21d1e0005edd9a98 | Security Group Tag: none | EasyVPN: 0 ||
Username: asoundar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.204 | Public IP: 223.182.213.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:10 IST Mon Jun 8 2020 | Duration: 1h:32m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 206155042 | Bytes Rx: 51266360 | IP Addr: 10.149.233.204 | Public IP: 223.182.213.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:10 IST Mon Jun 8 2020 | Duration: 1h:32m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 206155042 | Bytes Rx: 51266360 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138528 | Audit Session ID: 0a95072a21d200005edd9b32 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138528 | Audit Session ID: 0a95072a21d200005edd9b32 | Security Group Tag: none | EasyVPN: 0 ||
Username: rbangaru | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.206 | Public IP: 49.37.128.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:20 IST Mon Jun 8 2020 | Duration: 1h:32m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 107163201 | Bytes Rx: 19097451 | IP Addr: 10.149.233.206 | Public IP: 49.37.128.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:20 IST Mon Jun 8 2020 | Duration: 1h:32m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 107163201 | Bytes Rx: 19097451 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138529 | Audit Session ID: 0a95072a21d210005edd9b3c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138529 | Audit Session ID: 0a95072a21d210005edd9b3c | Security Group Tag: none | EasyVPN: 0 ||
Username: aanil | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.62 | Public IP: 49.207.49.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:30:29 IST Mon Jun 8 2020 | Duration: 1h:30m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 96377571 | Bytes Rx: 51387117 | IP Addr: 10.149.232.62 | Public IP: 49.207.49.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:30:29 IST Mon Jun 8 2020 | Duration: 1h:30m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 96377571 | Bytes Rx: 51387117 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138530 | Audit Session ID: 0a95072a21d220005edd9bbd | Security Group Tag: none | EasyVPN: 0 |Session ID: 138530 | Audit Session ID: 0a95072a21d220005edd9bbd | Security Group Tag: none | EasyVPN: 0 ||
Username: APaikrao | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.45 | Public IP: 42.106.122.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:31:15 IST Mon Jun 8 2020 | Duration: 1h:29m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 57606016 | Bytes Rx: 17170148 | IP Addr: 10.149.232.45 | Public IP: 42.106.122.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:31:15 IST Mon Jun 8 2020 | Duration: 1h:29m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 57606016 | Bytes Rx: 17170148 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138531 | Audit Session ID: 0a95072a21d230005edd9beb | Security Group Tag: none | EasyVPN: 0 |Session ID: 138531 | Audit Session ID: 0a95072a21d230005edd9beb | Security Group Tag: none | EasyVPN: 0 ||
Username: vikpatil | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.46 | Public IP: 157.33.249.249 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:32:14 IST Mon Jun 8 2020 | Duration: 1h:28m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 100947881 | Bytes Rx: 36607631 | IP Addr: 10.149.232.46 | Public IP: 157.33.249.249 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:32:14 IST Mon Jun 8 2020 | Duration: 1h:28m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 100947881 | Bytes Rx: 36607631 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138532 | Audit Session ID: 0a95072a21d240005edd9c26 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138532 | Audit Session ID: 0a95072a21d240005edd9c26 | Security Group Tag: none | EasyVPN: 0 ||
Username: kdeevi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.201 | Public IP: 157.38.251.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:42:07 IST Mon Jun 8 2020 | Duration: 1h:18m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 73005849 | Bytes Rx: 17502171 | IP Addr: 10.149.232.201 | Public IP: 157.38.251.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:42:07 IST Mon Jun 8 2020 | Duration: 1h:18m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 73005849 | Bytes Rx: 17502171 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138535 | Audit Session ID: 0a95072a21d270005edd9e77 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138535 | Audit Session ID: 0a95072a21d270005edd9e77 | Security Group Tag: none | EasyVPN: 0 ||
Username: kkalaiva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.207 | Public IP: 103.141.50.14 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 07:42:59 IST Mon Jun 8 2020 | Duration: 1h:18m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 268297695 | Bytes Rx: 16282908 | IP Addr: 10.149.232.207 | Public IP: 103.141.50.14 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 07:42:59 IST Mon Jun 8 2020 | Duration: 1h:18m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 268297695 | Bytes Rx: 16282908 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138536 | Audit Session ID: 0a95072a21d280005edd9eab | Security Group Tag: none | EasyVPN: 0 |Session ID: 138536 | Audit Session ID: 0a95072a21d280005edd9eab | Security Group Tag: none | EasyVPN: 0 ||
Username: rajasekaran.m | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.73 | Public IP: 171.76.59.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:02 IST Mon Jun 8 2020 | Duration: 1h:14m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 18773070 | Bytes Rx: 3814698 | IP Addr: 10.149.232.73 | Public IP: 171.76.59.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:02 IST Mon Jun 8 2020 | Duration: 1h:14m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 18773070 | Bytes Rx: 3814698 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138538 | Audit Session ID: 0a95072a21d2a0005edd9f9e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138538 | Audit Session ID: 0a95072a21d2a0005edd9f9e | Security Group Tag: none | EasyVPN: 0 ||
Username: absingh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.56 | Public IP: 103.86.181.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:23 IST Mon Jun 8 2020 | Duration: 1h:08m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 36428666 | Bytes Rx: 15241512 | IP Addr: 10.149.232.56 | Public IP: 103.86.181.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:23 IST Mon Jun 8 2020 | Duration: 1h:08m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 36428666 | Bytes Rx: 15241512 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138540 | Audit Session ID: 0a95072a21d2c0005edda0df | Security Group Tag: none | EasyVPN: 0 |Session ID: 138540 | Audit Session ID: 0a95072a21d2c0005edda0df | Security Group Tag: none | EasyVPN: 0 ||
Username: VKedaris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.60 | Public IP: 223.238.42.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:40 IST Mon Jun 8 2020 | Duration: 1h:07m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 27476895 | Bytes Rx: 6770940 | IP Addr: 10.149.232.60 | Public IP: 223.238.42.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:40 IST Mon Jun 8 2020 | Duration: 1h:07m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 27476895 | Bytes Rx: 6770940 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138544 | Audit Session ID: 0a95072a21d300005edda12c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138544 | Audit Session ID: 0a95072a21d300005edda12c | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.210 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:57:11 IST Mon Jun 8 2020 | Duration: 1h:03m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 81020443 | Bytes Rx: 26525980 | IP Addr: 10.149.232.210 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:57:11 IST Mon Jun 8 2020 | Duration: 1h:03m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 81020443 | Bytes Rx: 26525980 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138545 | Audit Session ID: 0a95072a21d310005edda1ff | Security Group Tag: none | EasyVPN: 0 |Session ID: 138545 | Audit Session ID: 0a95072a21d310005edda1ff | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.211 | Public IP: 103.117.219.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:35 IST Mon Jun 8 2020 | Duration: 1h:01m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 23215795 | Bytes Rx: 6419681 | IP Addr: 10.149.232.211 | Public IP: 103.117.219.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:35 IST Mon Jun 8 2020 | Duration: 1h:01m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 23215795 | Bytes Rx: 6419681 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138546 | Audit Session ID: 0a95072a21d320005edda28f | Security Group Tag: none | EasyVPN: 0 |Session ID: 138546 | Audit Session ID: 0a95072a21d320005edda28f | Security Group Tag: none | EasyVPN: 0 ||
Username: snallapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.47 | Public IP: 157.44.206.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:48 IST Mon Jun 8 2020 | Duration: 0h:58m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 51463457 | Bytes Rx: 41155044 | IP Addr: 10.149.232.47 | Public IP: 157.44.206.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:48 IST Mon Jun 8 2020 | Duration: 0h:58m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 51463457 | Bytes Rx: 41155044 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138548 | Audit Session ID: 0a95072a21d340005edda350 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138548 | Audit Session ID: 0a95072a21d340005edda350 | Security Group Tag: none | EasyVPN: 0 ||
Username: ckurjeka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.48 | Public IP: 183.83.146.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:54 IST Mon Jun 8 2020 | Duration: 0h:58m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 96724464 | Bytes Rx: 58452305 | IP Addr: 10.149.232.48 | Public IP: 183.83.146.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:54 IST Mon Jun 8 2020 | Duration: 0h:58m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 96724464 | Bytes Rx: 58452305 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138549 | Audit Session ID: 0a95072a21d350005edda356 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138549 | Audit Session ID: 0a95072a21d350005edda356 | Security Group Tag: none | EasyVPN: 0 ||
