sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ksubbiah | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.44 | Public IP: 49.207.132.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:11 IST Thu Jun 25 2020 | Duration: 21h:35m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 717394639 | Bytes Rx: 245197236 | IP Addr: 10.149.233.44 | Public IP: 49.207.132.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:11 IST Thu Jun 25 2020 | Duration: 21h:35m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 717394639 | Bytes Rx: 245197236 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172728 | Audit Session ID: 0a95072a2a2b80005ef435eb | Security Group Tag: none | EasyVPN: 0 |Session ID: 172728 | Audit Session ID: 0a95072a2a2b80005ef435eb | Security Group Tag: none | EasyVPN: 0 ||
Username: santl | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.94 | Public IP: 157.45.188.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:33:26 IST Fri Jun 26 2020 | Duration: 1h:59m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 705173655 | Bytes Rx: 33987670 | IP Addr: 10.149.232.94 | Public IP: 157.45.188.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:33:26 IST Fri Jun 26 2020 | Duration: 1h:59m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 705173655 | Bytes Rx: 33987670 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174497 | Audit Session ID: 0a95072a2a9a10005ef5495e | Security Group Tag: none | EasyVPN: 0 |Session ID: 174497 | Audit Session ID: 0a95072a2a9a10005ef5495e | Security Group Tag: none | EasyVPN: 0 ||
Username: nittoge | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.8 | Public IP: 27.97.137.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:40 IST Fri Jun 26 2020 | Duration: 1h:55m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 169947390 | Bytes Rx: 34781315 | IP Addr: 10.149.232.8 | Public IP: 27.97.137.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:40 IST Fri Jun 26 2020 | Duration: 1h:55m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 169947390 | Bytes Rx: 34781315 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174500 | Audit Session ID: 0a95072a2a9a40005ef54a5c | Security Group Tag: none | EasyVPN: 0 |Session ID: 174500 | Audit Session ID: 0a95072a2a9a40005ef54a5c | Security Group Tag: none | EasyVPN: 0 ||
Username: ramakodi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.107 | Public IP: 49.37.198.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:39 IST Fri Jun 26 2020 | Duration: 1h:53m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 341926891 | Bytes Rx: 29246901 | IP Addr: 10.149.233.107 | Public IP: 49.37.198.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:39 IST Fri Jun 26 2020 | Duration: 1h:53m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 341926891 | Bytes Rx: 29246901 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174502 | Audit Session ID: 0a95072a2a9a60005ef54ad3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174502 | Audit Session ID: 0a95072a2a9a60005ef54ad3 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.108 | Public IP: 115.97.5.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:53 IST Fri Jun 26 2020 | Duration: 1h:53m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 401130329 | Bytes Rx: 48582730 | IP Addr: 10.149.233.108 | Public IP: 115.97.5.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:53 IST Fri Jun 26 2020 | Duration: 1h:53m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 401130329 | Bytes Rx: 48582730 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174503 | Audit Session ID: 0a95072a2a9a70005ef54ae1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174503 | Audit Session ID: 0a95072a2a9a70005ef54ae1 | Security Group Tag: none | EasyVPN: 0 ||
Username: cagoram | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.110 | Public IP: 157.50.114.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:10 IST Fri Jun 26 2020 | Duration: 1h:51m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 56195475 | Bytes Rx: 29295859 | IP Addr: 10.149.233.110 | Public IP: 157.50.114.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:10 IST Fri Jun 26 2020 | Duration: 1h:51m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 56195475 | Bytes Rx: 29295859 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174506 | Audit Session ID: 0a95072a2a9aa0005ef54b6a | Security Group Tag: none | EasyVPN: 0 |Session ID: 174506 | Audit Session ID: 0a95072a2a9aa0005ef54b6a | Security Group Tag: none | EasyVPN: 0 ||
Username: jamesRA | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.111 | Public IP: 157.46.45.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:45 IST Fri Jun 26 2020 | Duration: 1h:47m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 42588652 | Bytes Rx: 13613532 | IP Addr: 10.149.233.111 | Public IP: 157.46.45.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:45 IST Fri Jun 26 2020 | Duration: 1h:47m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 42588652 | Bytes Rx: 13613532 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174507 | Audit Session ID: 0a95072a2a9ab0005ef54c41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174507 | Audit Session ID: 0a95072a2a9ab0005ef54c41 | Security Group Tag: none | EasyVPN: 0 ||
Username: rnadella | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.113 | Public IP: 223.237.240.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:48 IST Fri Jun 26 2020 | Duration: 1h:45m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 108560020 | Bytes Rx: 251551868 | IP Addr: 10.149.233.113 | Public IP: 223.237.240.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:48 IST Fri Jun 26 2020 | Duration: 1h:45m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 108560020 | Bytes Rx: 251551868 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174510 | Audit Session ID: 0a95072a2a9ae0005ef54cbc | Security Group Tag: none | EasyVPN: 0 |Session ID: 174510 | Audit Session ID: 0a95072a2a9ae0005ef54cbc | Security Group Tag: none | EasyVPN: 0 ||
Username: sasif | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.62 | Public IP: 106.210.253.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:10 IST Fri Jun 26 2020 | Duration: 1h:44m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 181557960 | Bytes Rx: 49711087 | IP Addr: 10.149.232.62 | Public IP: 106.210.253.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:10 IST Fri Jun 26 2020 | Duration: 1h:44m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 181557960 | Bytes Rx: 49711087 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174511 | Audit Session ID: 0a95072a2a9af0005ef54d0e | Security Group Tag: none | EasyVPN: 0 |Session ID: 174511 | Audit Session ID: 0a95072a2a9af0005ef54d0e | Security Group Tag: none | EasyVPN: 0 ||
Username: vmasadi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.85 | Public IP: 157.48.185.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:08:46 IST Fri Jun 26 2020 | Duration: 1h:24m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 37121653 | Bytes Rx: 16597558 | IP Addr: 10.149.233.85 | Public IP: 157.48.185.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:08:46 IST Fri Jun 26 2020 | Duration: 1h:24m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 37121653 | Bytes Rx: 16597558 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174513 | Audit Session ID: 0a95072a2a9b10005ef551a6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174513 | Audit Session ID: 0a95072a2a9b10005ef551a6 | Security Group Tag: none | EasyVPN: 0 ||
Username: sudharsk | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.196 | Public IP: 27.5.157.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:50 IST Fri Jun 26 2020 | Duration: 1h:16m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 8372456 | Bytes Rx: 4744192 | IP Addr: 10.149.233.196 | Public IP: 27.5.157.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:50 IST Fri Jun 26 2020 | Duration: 1h:16m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 8372456 | Bytes Rx: 4744192 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174520 | Audit Session ID: 0a95072a2a9b80005ef5538a | Security Group Tag: none | EasyVPN: 0 |Session ID: 174520 | Audit Session ID: 0a95072a2a9b80005ef5538a | Security Group Tag: none | EasyVPN: 0 ||
Username: gesamina | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC1 | IP Addr: 10.149.248.97 | Public IP: 106.197.135.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:36 IST Fri Jun 26 2020 | Duration: 1h:15m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 176325073 | Bytes Rx: 49790347 | IP Addr: 10.149.248.97 | Public IP: 106.197.135.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:36 IST Fri Jun 26 2020 | Duration: 1h:15m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 176325073 | Bytes Rx: 49790347 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174522 | Audit Session ID: 0a95072a2a9ba0005ef553b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174522 | Audit Session ID: 0a95072a2a9ba0005ef553b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: vanagara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.59 | Public IP: 122.164.74.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:22:01 IST Fri Jun 26 2020 | Duration: 1h:11m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 178959126 | Bytes Rx: 25360279 | IP Addr: 10.149.232.59 | Public IP: 122.164.74.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:22:01 IST Fri Jun 26 2020 | Duration: 1h:11m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 178959126 | Bytes Rx: 25360279 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174523 | Audit Session ID: 0a95072a2a9bb0005ef554c1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174523 | Audit Session ID: 0a95072a2a9bb0005ef554c1 | Security Group Tag: none | EasyVPN: 0 ||
Username: shobmura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.6 | Public IP: 106.208.121.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:23:48 IST Fri Jun 26 2020 | Duration: 1h:09m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 31567856 | Bytes Rx: 9224253 | IP Addr: 10.149.232.6 | Public IP: 106.208.121.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:23:48 IST Fri Jun 26 2020 | Duration: 1h:09m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 31567856 | Bytes Rx: 9224253 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174525 | Audit Session ID: 0a95072a2a9bd0005ef5552c | Security Group Tag: none | EasyVPN: 0 |Session ID: 174525 | Audit Session ID: 0a95072a2a9bd0005ef5552c | Security Group Tag: none | EasyVPN: 0 ||
Username: mpandura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.9 | Public IP: 106.198.35.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:17 IST Fri Jun 26 2020 | Duration: 1h:08m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 77178325 | Bytes Rx: 44969609 | IP Addr: 10.149.232.9 | Public IP: 106.198.35.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:17 IST Fri Jun 26 2020 | Duration: 1h:08m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 77178325 | Bytes Rx: 44969609 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174526 | Audit Session ID: 0a95072a2a9be0005ef55585 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174526 | Audit Session ID: 0a95072a2a9be0005ef55585 | Security Group Tag: none | EasyVPN: 0 ||
Username: gjames | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.10 | Public IP: 103.148.20.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:34 IST Fri Jun 26 2020 | Duration: 1h:07m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 224102908 | Bytes Rx: 30365736 | IP Addr: 10.149.232.10 | Public IP: 103.148.20.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:34 IST Fri Jun 26 2020 | Duration: 1h:07m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 224102908 | Bytes Rx: 30365736 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174528 | Audit Session ID: 0a95072a2a9c00005ef55596 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174528 | Audit Session ID: 0a95072a2a9c00005ef55596 | Security Group Tag: none | EasyVPN: 0 ||
Username: SBellam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.11 | Public IP: 157.46.27.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:44 IST Fri Jun 26 2020 | Duration: 1h:07m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 49505611 | Bytes Rx: 15070685 | IP Addr: 10.149.232.11 | Public IP: 157.46.27.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:44 IST Fri Jun 26 2020 | Duration: 1h:07m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 49505611 | Bytes Rx: 15070685 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174529 | Audit Session ID: 0a95072a2a9c10005ef555a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174529 | Audit Session ID: 0a95072a2a9c10005ef555a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: shsampat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 157.50.64.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:54 IST Fri Jun 26 2020 | Duration: 1h:07m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 38744835 | Bytes Rx: 35681915 | IP Addr: 10.149.232.12 | Public IP: 157.50.64.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:54 IST Fri Jun 26 2020 | Duration: 1h:07m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 38744835 | Bytes Rx: 35681915 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174530 | Audit Session ID: 0a95072a2a9c20005ef555aa | Security Group Tag: none | EasyVPN: 0 |Session ID: 174530 | Audit Session ID: 0a95072a2a9c20005ef555aa | Security Group Tag: none | EasyVPN: 0 ||
Username: mutraman | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC7 | IP Addr: 10.149.248.103 | Public IP: 157.50.84.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:26:29 IST Fri Jun 26 2020 | Duration: 1h:06m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 494840916 | Bytes Rx: 49837401 | IP Addr: 10.149.248.103 | Public IP: 157.50.84.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:26:29 IST Fri Jun 26 2020 | Duration: 1h:06m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 494840916 | Bytes Rx: 49837401 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174531 | Audit Session ID: 0a95072a2a9c30005ef555cd | Security Group Tag: none | EasyVPN: 0 |Session ID: 174531 | Audit Session ID: 0a95072a2a9c30005ef555cd | Security Group Tag: none | EasyVPN: 0 ||
Username: prayadur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.198 | Public IP: 137.97.40.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:30:23 IST Fri Jun 26 2020 | Duration: 1h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 50674495 | Bytes Rx: 11262160 | IP Addr: 10.149.233.198 | Public IP: 137.97.40.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:30:23 IST Fri Jun 26 2020 | Duration: 1h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 50674495 | Bytes Rx: 11262160 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174535 | Audit Session ID: 0a95072a2a9c70005ef556b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174535 | Audit Session ID: 0a95072a2a9c70005ef556b7 | Security Group Tag: none | EasyVPN: 0 ||
