sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 5h:30m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2625615195 | Bytes Rx: 388314323 | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 5h:30m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2625615195 | Bytes Rx: 388314323 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 ||
Username: Bsathyan | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.29 | Public IP: 157.45.228.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:13 IST Tue Jun 9 2020 | Duration: 3h:02m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 56422929 | Bytes Rx: 25503975 | IP Addr: 10.150.237.29 | Public IP: 157.45.228.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:13 IST Tue Jun 9 2020 | Duration: 3h:02m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 56422929 | Bytes Rx: 25503975 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4671 | Audit Session ID: 0a96cf690123f0005edf08d5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4671 | Audit Session ID: 0a96cf690123f0005edf08d5 | Security Group Tag: none | EasyVPN: 0 ||
Username: AFernand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.30 | Public IP: 49.35.120.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:17 IST Tue Jun 9 2020 | Duration: 3h:02m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 366885487 | Bytes Rx: 69736048 | IP Addr: 10.150.237.30 | Public IP: 49.35.120.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:17 IST Tue Jun 9 2020 | Duration: 3h:02m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 366885487 | Bytes Rx: 69736048 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4674 | Audit Session ID: 0a96cf69012420005edf08d9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4674 | Audit Session ID: 0a96cf69012420005edf08d9 | Security Group Tag: none | EasyVPN: 0 ||
Username: MonicaM | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.33 | Public IP: 183.87.234.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:38 IST Tue Jun 9 2020 | Duration: 3h:01m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 107586091 | Bytes Rx: 28952388 | IP Addr: 10.150.237.33 | Public IP: 183.87.234.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:38 IST Tue Jun 9 2020 | Duration: 3h:01m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 107586091 | Bytes Rx: 28952388 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4678 | Audit Session ID: 0a96cf69012460005edf08ee | Security Group Tag: none | EasyVPN: 0 |Session ID: 4678 | Audit Session ID: 0a96cf69012460005edf08ee | Security Group Tag: none | EasyVPN: 0 ||
Username: SGAWANDE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.35 | Public IP: 106.193.216.240 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:38 IST Tue Jun 9 2020 | Duration: 3h:01m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 169183584 | Bytes Rx: 23157508 | IP Addr: 10.150.237.35 | Public IP: 106.193.216.240 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:38 IST Tue Jun 9 2020 | Duration: 3h:01m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 169183584 | Bytes Rx: 23157508 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4679 | Audit Session ID: 0a96cf69012470005edf08ee | Security Group Tag: none | EasyVPN: 0 |Session ID: 4679 | Audit Session ID: 0a96cf69012470005edf08ee | Security Group Tag: none | EasyVPN: 0 ||
Username: ashpanja | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.57 | Public IP: 27.56.214.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:39 IST Tue Jun 9 2020 | Duration: 3h:01m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 634795499 | Bytes Rx: 42312538 | IP Addr: 10.150.237.57 | Public IP: 27.56.214.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:28:39 IST Tue Jun 9 2020 | Duration: 3h:01m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 634795499 | Bytes Rx: 42312538 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4680 | Audit Session ID: 0a96cf69012480005edf08ef | Security Group Tag: none | EasyVPN: 0 |Session ID: 4680 | Audit Session ID: 0a96cf69012480005edf08ef | Security Group Tag: none | EasyVPN: 0 ||
Username: pritishc | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.61 | Public IP: 103.117.217.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:29:46 IST Tue Jun 9 2020 | Duration: 3h:00m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 379139944 | Bytes Rx: 201899813 | IP Addr: 10.150.236.61 | Public IP: 103.117.217.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:29:46 IST Tue Jun 9 2020 | Duration: 3h:00m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 379139944 | Bytes Rx: 201899813 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4686 | Audit Session ID: 0a96cf690124e0005edf0932 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4686 | Audit Session ID: 0a96cf690124e0005edf0932 | Security Group Tag: none | EasyVPN: 0 ||
Username: artrajes | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.201 | Public IP: 180.151.143.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:30:10 IST Tue Jun 9 2020 | Duration: 3h:00m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 113793514 | Bytes Rx: 28010838 | IP Addr: 10.150.236.201 | Public IP: 180.151.143.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:30:10 IST Tue Jun 9 2020 | Duration: 3h:00m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 113793514 | Bytes Rx: 28010838 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4687 | Audit Session ID: 0a96cf690124f0005edf094a | Security Group Tag: none | EasyVPN: 0 |Session ID: 4687 | Audit Session ID: 0a96cf690124f0005edf094a | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikant.bansode | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.190 | Public IP: 106.193.114.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:30:32 IST Tue Jun 9 2020 | Duration: 2h:59m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 682967538 | Bytes Rx: 65191902 | IP Addr: 10.150.236.190 | Public IP: 106.193.114.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:30:32 IST Tue Jun 9 2020 | Duration: 2h:59m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 682967538 | Bytes Rx: 65191902 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4688 | Audit Session ID: 0a96cf69012500005edf0960 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4688 | Audit Session ID: 0a96cf69012500005edf0960 | Security Group Tag: none | EasyVPN: 0 ||
Username: vishal.saxena | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.250 | Public IP: 49.37.204.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:31:59 IST Tue Jun 9 2020 | Duration: 2h:58m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 159211042 | Bytes Rx: 65214940 | IP Addr: 10.150.236.250 | Public IP: 49.37.204.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:31:59 IST Tue Jun 9 2020 | Duration: 2h:58m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 159211042 | Bytes Rx: 65214940 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4690 | Audit Session ID: 0a96cf69012520005edf09b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4690 | Audit Session ID: 0a96cf69012520005edf09b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: abhirgho | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.37 | Public IP: 103.244.240.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:32:00 IST Tue Jun 9 2020 | Duration: 2h:58m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 131367547 | Bytes Rx: 27457943 | IP Addr: 10.150.237.37 | Public IP: 103.244.240.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:32:00 IST Tue Jun 9 2020 | Duration: 2h:58m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 131367547 | Bytes Rx: 27457943 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4691 | Audit Session ID: 0a96cf69012530005edf09b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4691 | Audit Session ID: 0a96cf69012530005edf09b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: vijmohit | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC11 | IP Addr: 10.150.245.244 | Public IP: 106.193.110.89 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:32:35 IST Tue Jun 9 2020 | Duration: 2h:57m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 209758924 | Bytes Rx: 70780885 | IP Addr: 10.150.245.244 | Public IP: 106.193.110.89 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:32:35 IST Tue Jun 9 2020 | Duration: 2h:57m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 209758924 | Bytes Rx: 70780885 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4695 | Audit Session ID: 0a96cf69012570005edf09db | Security Group Tag: none | EasyVPN: 0 |Session ID: 4695 | Audit Session ID: 0a96cf69012570005edf09db | Security Group Tag: none | EasyVPN: 0 ||
Username: sagar.dhapate | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.41 | Public IP: 103.110.253.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:32:48 IST Tue Jun 9 2020 | Duration: 2h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 354119508 | Bytes Rx: 32637983 | IP Addr: 10.150.237.41 | Public IP: 103.110.253.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:32:48 IST Tue Jun 9 2020 | Duration: 2h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 354119508 | Bytes Rx: 32637983 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4697 | Audit Session ID: 0a96cf69012590005edf09e8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4697 | Audit Session ID: 0a96cf69012590005edf09e8 | Security Group Tag: none | EasyVPN: 0 ||
Username: mukund.teli | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.39 | Public IP: 106.193.202.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:32:59 IST Tue Jun 9 2020 | Duration: 2h:57m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 174122788 | Bytes Rx: 190340767 | IP Addr: 10.150.237.39 | Public IP: 106.193.202.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:32:59 IST Tue Jun 9 2020 | Duration: 2h:57m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 174122788 | Bytes Rx: 190340767 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4698 | Audit Session ID: 0a96cf690125a0005edf09f3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4698 | Audit Session ID: 0a96cf690125a0005edf09f3 | Security Group Tag: none | EasyVPN: 0 ||
Username: VBokhare | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.42 | Public IP: 45.250.227.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:09 IST Tue Jun 9 2020 | Duration: 2h:57m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 193810798 | Bytes Rx: 76678376 | IP Addr: 10.150.237.42 | Public IP: 45.250.227.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:09 IST Tue Jun 9 2020 | Duration: 2h:57m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 193810798 | Bytes Rx: 76678376 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4700 | Audit Session ID: 0a96cf690125c0005edf09fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 4700 | Audit Session ID: 0a96cf690125c0005edf09fd | Security Group Tag: none | EasyVPN: 0 ||
Username: RahMadne | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.43 | Public IP: 106.210.142.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:10 IST Tue Jun 9 2020 | Duration: 2h:57m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 147002374 | Bytes Rx: 71897227 | IP Addr: 10.150.237.43 | Public IP: 106.210.142.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:10 IST Tue Jun 9 2020 | Duration: 2h:57m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 147002374 | Bytes Rx: 71897227 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4701 | Audit Session ID: 0a96cf690125d0005edf09fe | Security Group Tag: none | EasyVPN: 0 |Session ID: 4701 | Audit Session ID: 0a96cf690125d0005edf09fe | Security Group Tag: none | EasyVPN: 0 ||
Username: chetanpa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.46 | Public IP: 49.35.215.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:14 IST Tue Jun 9 2020 | Duration: 2h:57m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 76565468 | Bytes Rx: 107946857 | IP Addr: 10.150.237.46 | Public IP: 49.35.215.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:14 IST Tue Jun 9 2020 | Duration: 2h:57m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 76565468 | Bytes Rx: 107946857 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4702 | Audit Session ID: 0a96cf690125e0005edf0a02 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4702 | Audit Session ID: 0a96cf690125e0005edf0a02 | Security Group Tag: none | EasyVPN: 0 ||
Username: kkherade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.47 | Public IP: 49.14.85.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:20 IST Tue Jun 9 2020 | Duration: 2h:57m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 159168365 | Bytes Rx: 439349576 | IP Addr: 10.150.237.47 | Public IP: 49.14.85.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:20 IST Tue Jun 9 2020 | Duration: 2h:57m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 159168365 | Bytes Rx: 439349576 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4704 | Audit Session ID: 0a96cf69012600005edf0a08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4704 | Audit Session ID: 0a96cf69012600005edf0a08 | Security Group Tag: none | EasyVPN: 0 ||
Username: prkumbha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.49 | Public IP: 175.100.139.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:22 IST Tue Jun 9 2020 | Duration: 2h:57m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 142452274 | Bytes Rx: 60632065 | IP Addr: 10.150.237.49 | Public IP: 175.100.139.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:22 IST Tue Jun 9 2020 | Duration: 2h:57m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 142452274 | Bytes Rx: 60632065 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4705 | Audit Session ID: 0a96cf69012610005edf0a0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 4705 | Audit Session ID: 0a96cf69012610005edf0a0a | Security Group Tag: none | EasyVPN: 0 ||
Username: Aniganna | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.48 | Public IP: 223.228.62.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:26 IST Tue Jun 9 2020 | Duration: 2h:56m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 14801168 | Bytes Rx: 7585414 | IP Addr: 10.150.237.48 | Public IP: 223.228.62.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:26 IST Tue Jun 9 2020 | Duration: 2h:56m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 14801168 | Bytes Rx: 7585414 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4706 | Audit Session ID: 0a96cf69012620005edf0a0e | Security Group Tag: none | EasyVPN: 0 |Session ID: 4706 | Audit Session ID: 0a96cf69012620005edf0a0e | Security Group Tag: none | EasyVPN: 0 ||
Username: anmohod | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.50 | Public IP: 223.226.114.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:31 IST Tue Jun 9 2020 | Duration: 2h:56m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 345862036 | Bytes Rx: 35743445 | IP Addr: 10.150.237.50 | Public IP: 223.226.114.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:33:31 IST Tue Jun 9 2020 | Duration: 2h:56m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 345862036 | Bytes Rx: 35743445 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4707 | Audit Session ID: 0a96cf69012630005edf0a13 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4707 | Audit Session ID: 0a96cf69012630005edf0a13 | Security Group Tag: none | EasyVPN: 0 ||
