sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: vvelu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 11h:51m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 630940389 | Bytes Rx: 342783550 | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 11h:51m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 630940389 | Bytes Rx: 342783550 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 ||
Username: rmoorthi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.71 | Public IP: 27.5.187.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:10:31 IST Thu Jun 25 2020 | Duration: 6h:49m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 95155567 | Bytes Rx: 44286258 | IP Addr: 10.149.233.71 | Public IP: 27.5.187.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:10:31 IST Thu Jun 25 2020 | Duration: 6h:49m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 95155567 | Bytes Rx: 44286258 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172781 | Audit Session ID: 0a95072a2a2ed0005ef438cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 172781 | Audit Session ID: 0a95072a2a2ed0005ef438cf | Security Group Tag: none | EasyVPN: 0 ||
Username: savisa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.73 | Public IP: 43.241.123.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:10:50 IST Thu Jun 25 2020 | Duration: 6h:49m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 3393079980 | Bytes Rx: 365688409 | IP Addr: 10.149.233.73 | Public IP: 43.241.123.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:10:50 IST Thu Jun 25 2020 | Duration: 6h:49m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 3393079980 | Bytes Rx: 365688409 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172783 | Audit Session ID: 0a95072a2a2ef0005ef438e2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172783 | Audit Session ID: 0a95072a2a2ef0005ef438e2 | Security Group Tag: none | EasyVPN: 0 ||
Username: omprakash.kore | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.84 | Public IP: 49.35.214.200 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:11:18 IST Thu Jun 25 2020 | Duration: 6h:49m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 868534442 | Bytes Rx: 236161088 | IP Addr: 10.149.233.84 | Public IP: 49.35.214.200 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:11:18 IST Thu Jun 25 2020 | Duration: 6h:49m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 868534442 | Bytes Rx: 236161088 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172786 | Audit Session ID: 0a95072a2a2f20005ef438fe | Security Group Tag: none | EasyVPN: 0 |Session ID: 172786 | Audit Session ID: 0a95072a2a2f20005ef438fe | Security Group Tag: none | EasyVPN: 0 ||
Username: pthambir | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.86 | Public IP: 157.50.71.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:10 IST Thu Jun 25 2020 | Duration: 6h:47m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 729179503 | Bytes Rx: 392541043 | IP Addr: 10.149.233.86 | Public IP: 157.50.71.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:10 IST Thu Jun 25 2020 | Duration: 6h:47m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 729179503 | Bytes Rx: 392541043 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172793 | Audit Session ID: 0a95072a2a2f90005ef4396e | Security Group Tag: none | EasyVPN: 0 |Session ID: 172793 | Audit Session ID: 0a95072a2a2f90005ef4396e | Security Group Tag: none | EasyVPN: 0 ||
Username: prasseka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.95 | Public IP: 157.50.77.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:16 IST Thu Jun 25 2020 | Duration: 6h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 92571155 | Bytes Rx: 72049538 | IP Addr: 10.149.232.95 | Public IP: 157.50.77.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:16 IST Thu Jun 25 2020 | Duration: 6h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 92571155 | Bytes Rx: 72049538 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172794 | Audit Session ID: 0a95072a2a2fa0005ef43974 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172794 | Audit Session ID: 0a95072a2a2fa0005ef43974 | Security Group Tag: none | EasyVPN: 0 ||
Username: pkandas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.200 | Public IP: 49.207.130.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:38 IST Thu Jun 25 2020 | Duration: 6h:46m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1175257957 | Bytes Rx: 541842947 | IP Addr: 10.149.232.200 | Public IP: 49.207.130.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:38 IST Thu Jun 25 2020 | Duration: 6h:46m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1175257957 | Bytes Rx: 541842947 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172798 | Audit Session ID: 0a95072a2a2fe0005ef4398a | Security Group Tag: none | EasyVPN: 0 |Session ID: 172798 | Audit Session ID: 0a95072a2a2fe0005ef4398a | Security Group Tag: none | EasyVPN: 0 ||
Username: aditjosh | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.214 | Public IP: 122.172.139.223 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:14:18 IST Thu Jun 25 2020 | Duration: 6h:46m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 517714072 | Bytes Rx: 245525829 | IP Addr: 10.149.232.214 | Public IP: 122.172.139.223 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:14:18 IST Thu Jun 25 2020 | Duration: 6h:46m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 517714072 | Bytes Rx: 245525829 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172802 | Audit Session ID: 0a95072a2a3020005ef439b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172802 | Audit Session ID: 0a95072a2a3020005ef439b2 | Security Group Tag: none | EasyVPN: 0 ||
Username: ssurend | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.135 | Public IP: 49.205.78.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:00 IST Thu Jun 25 2020 | Duration: 6h:44m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 213987820 | Bytes Rx: 127425992 | IP Addr: 10.149.232.135 | Public IP: 49.205.78.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:00 IST Thu Jun 25 2020 | Duration: 6h:44m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 213987820 | Bytes Rx: 127425992 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172810 | Audit Session ID: 0a95072a2a30a0005ef43a18 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172810 | Audit Session ID: 0a95072a2a30a0005ef43a18 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajsampa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.97 | Public IP: 27.5.14.15 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:16 IST Thu Jun 25 2020 | Duration: 6h:44m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 156052457 | Bytes Rx: 99115040 | IP Addr: 10.149.232.97 | Public IP: 27.5.14.15 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:16 IST Thu Jun 25 2020 | Duration: 6h:44m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 156052457 | Bytes Rx: 99115040 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172812 | Audit Session ID: 0a95072a2a30c0005ef43a28 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172812 | Audit Session ID: 0a95072a2a30c0005ef43a28 | Security Group Tag: none | EasyVPN: 0 ||
Username: SangGopi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.134 | Public IP: 157.50.92.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:39 IST Thu Jun 25 2020 | Duration: 6h:43m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 725458682 | Bytes Rx: 301341536 | IP Addr: 10.149.232.134 | Public IP: 157.50.92.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:39 IST Thu Jun 25 2020 | Duration: 6h:43m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 725458682 | Bytes Rx: 301341536 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172813 | Audit Session ID: 0a95072a2a30d0005ef43a3f | Security Group Tag: none | EasyVPN: 0 |Session ID: 172813 | Audit Session ID: 0a95072a2a30d0005ef43a3f | Security Group Tag: none | EasyVPN: 0 ||
Username: azhagjay | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.93 | Public IP: 27.5.237.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:19:19 IST Thu Jun 25 2020 | Duration: 6h:41m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 51301631 | Bytes Rx: 15793634 | IP Addr: 10.149.233.93 | Public IP: 27.5.237.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:19:19 IST Thu Jun 25 2020 | Duration: 6h:41m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 51301631 | Bytes Rx: 15793634 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172818 | Audit Session ID: 0a95072a2a3120005ef43adf | Security Group Tag: none | EasyVPN: 0 |Session ID: 172818 | Audit Session ID: 0a95072a2a3120005ef43adf | Security Group Tag: none | EasyVPN: 0 ||
Username: bpathak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.123 | Public IP: 157.50.11.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:20:11 IST Thu Jun 25 2020 | Duration: 6h:40m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 300452834 | Bytes Rx: 40909189 | IP Addr: 10.149.232.123 | Public IP: 157.50.11.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:20:11 IST Thu Jun 25 2020 | Duration: 6h:40m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 300452834 | Bytes Rx: 40909189 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172823 | Audit Session ID: 0a95072a2a3170005ef43b13 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172823 | Audit Session ID: 0a95072a2a3170005ef43b13 | Security Group Tag: none | EasyVPN: 0 ||
Username: agobu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.236 | Public IP: 157.46.63.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:23:46 IST Thu Jun 25 2020 | Duration: 6h:36m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 748933339 | Bytes Rx: 113444433 | IP Addr: 10.149.232.236 | Public IP: 157.46.63.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:23:46 IST Thu Jun 25 2020 | Duration: 6h:36m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 748933339 | Bytes Rx: 113444433 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172825 | Audit Session ID: 0a95072a2a3190005ef43bea | Security Group Tag: none | EasyVPN: 0 |Session ID: 172825 | Audit Session ID: 0a95072a2a3190005ef43bea | Security Group Tag: none | EasyVPN: 0 ||
Username: pavmurug | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.39 | Public IP: 106.197.135.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:23 IST Thu Jun 25 2020 | Duration: 6h:36m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 141544766 | Bytes Rx: 91530213 | IP Addr: 10.149.233.39 | Public IP: 106.197.135.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:23 IST Thu Jun 25 2020 | Duration: 6h:36m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 141544766 | Bytes Rx: 91530213 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172826 | Audit Session ID: 0a95072a2a31a0005ef43c0f | Security Group Tag: none | EasyVPN: 0 |Session ID: 172826 | Audit Session ID: 0a95072a2a31a0005ef43c0f | Security Group Tag: none | EasyVPN: 0 ||
Username: rsonayela | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.98 | Public IP: 175.101.18.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:30 IST Thu Jun 25 2020 | Duration: 6h:35m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 356185992 | Bytes Rx: 158704415 | IP Addr: 10.149.233.98 | Public IP: 175.101.18.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:30 IST Thu Jun 25 2020 | Duration: 6h:35m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 356185992 | Bytes Rx: 158704415 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172828 | Audit Session ID: 0a95072a2a31c0005ef43c16 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172828 | Audit Session ID: 0a95072a2a31c0005ef43c16 | Security Group Tag: none | EasyVPN: 0 ||
Username: amigupta | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.222 | Public IP: 27.4.125.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:25:35 IST Thu Jun 25 2020 | Duration: 6h:34m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 130291769 | Bytes Rx: 303045596 | IP Addr: 10.149.232.222 | Public IP: 27.4.125.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:25:35 IST Thu Jun 25 2020 | Duration: 6h:34m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 130291769 | Bytes Rx: 303045596 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172833 | Audit Session ID: 0a95072a2a3210005ef43c57 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172833 | Audit Session ID: 0a95072a2a3210005ef43c57 | Security Group Tag: none | EasyVPN: 0 ||
Username: unayak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.101 | Public IP: 106.206.51.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:27:24 IST Thu Jun 25 2020 | Duration: 6h:32m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 396393640 | Bytes Rx: 527942575 | IP Addr: 10.149.233.101 | Public IP: 106.206.51.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:27:24 IST Thu Jun 25 2020 | Duration: 6h:32m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 396393640 | Bytes Rx: 527942575 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172837 | Audit Session ID: 0a95072a2a3250005ef43cc4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172837 | Audit Session ID: 0a95072a2a3250005ef43cc4 | Security Group Tag: none | EasyVPN: 0 ||
Username: AUpendra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.250 | Public IP: 183.83.154.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:30 IST Thu Jun 25 2020 | Duration: 6h:30m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 189627507 | Bytes Rx: 33623083 | IP Addr: 10.149.232.250 | Public IP: 183.83.154.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:30 IST Thu Jun 25 2020 | Duration: 6h:30m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 189627507 | Bytes Rx: 33623083 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172838 | Audit Session ID: 0a95072a2a3260005ef43d42 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172838 | Audit Session ID: 0a95072a2a3260005ef43d42 | Security Group Tag: none | EasyVPN: 0 ||
Username: SChinnia | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.107 | Public IP: 157.50.119.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:31:12 IST Thu Jun 25 2020 | Duration: 6h:29m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 75557005 | Bytes Rx: 80847670 | IP Addr: 10.149.233.107 | Public IP: 157.50.119.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:31:12 IST Thu Jun 25 2020 | Duration: 6h:29m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 75557005 | Bytes Rx: 80847670 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172850 | Audit Session ID: 0a95072a2a3320005ef43da8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172850 | Audit Session ID: 0a95072a2a3320005ef43da8 | Security Group Tag: none | EasyVPN: 0 ||
Username: fatshaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.108 | Public IP: 157.44.83.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:31:33 IST Thu Jun 25 2020 | Duration: 6h:28m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 157755756 | Bytes Rx: 112319753 | IP Addr: 10.149.233.108 | Public IP: 157.44.83.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:31:33 IST Thu Jun 25 2020 | Duration: 6h:28m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 157755756 | Bytes Rx: 112319753 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172851 | Audit Session ID: 0a95072a2a3330005ef43dbd | Security Group Tag: none | EasyVPN: 0 |Session ID: 172851 | Audit Session ID: 0a95072a2a3330005ef43dbd | Security Group Tag: none | EasyVPN: 0 ||
