sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 3h:00m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2116793663 | Bytes Rx: 308082728 | IP Addr: 10.150.236.10 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:11 IST Mon Jun 8 2020 | Duration: 1d 3h:00m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2116793663 | Bytes Rx: 308082728 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 855 | Audit Session ID: 0a96cf69003570005edd94a3 | Security Group Tag: none | EasyVPN: 0 ||
Username: rpborhad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.114 | Public IP: 223.189.9.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:28 IST Tue Jun 9 2020 | Duration: 1h:15m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 145285492 | Bytes Rx: 53195393 | IP Addr: 10.150.236.114 | Public IP: 223.189.9.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:28 IST Tue Jun 9 2020 | Duration: 1h:15m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 145285492 | Bytes Rx: 53195393 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4499 | Audit Session ID: 0a96cf69011930005edefe94 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4499 | Audit Session ID: 0a96cf69011930005edefe94 | Security Group Tag: none | EasyVPN: 0 ||
Username: ojakhadi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.144 | Public IP: 157.33.171.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:29 IST Tue Jun 9 2020 | Duration: 1h:15m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 47725836 | Bytes Rx: 15701992 | IP Addr: 10.150.236.144 | Public IP: 157.33.171.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:29 IST Tue Jun 9 2020 | Duration: 1h:15m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 47725836 | Bytes Rx: 15701992 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4501 | Audit Session ID: 0a96cf69011950005edefe95 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4501 | Audit Session ID: 0a96cf69011950005edefe95 | Security Group Tag: none | EasyVPN: 0 ||
Username: sidkumar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.150 | Public IP: 122.167.160.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:03 IST Tue Jun 9 2020 | Duration: 1h:15m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 29696803 | Bytes Rx: 13627512 | IP Addr: 10.150.236.150 | Public IP: 122.167.160.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:03 IST Tue Jun 9 2020 | Duration: 1h:15m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 29696803 | Bytes Rx: 13627512 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4505 | Audit Session ID: 0a96cf69011990005edefeb7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4505 | Audit Session ID: 0a96cf69011990005edefeb7 | Security Group Tag: none | EasyVPN: 0 ||
Username: GBarkade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.151 | Public IP: 123.136.197.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:08 IST Tue Jun 9 2020 | Duration: 1h:15m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 104503759 | Bytes Rx: 14624723 | IP Addr: 10.150.236.151 | Public IP: 123.136.197.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:08 IST Tue Jun 9 2020 | Duration: 1h:15m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 104503759 | Bytes Rx: 14624723 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4506 | Audit Session ID: 0a96cf690119a0005edefebc | Security Group Tag: none | EasyVPN: 0 |Session ID: 4506 | Audit Session ID: 0a96cf690119a0005edefebc | Security Group Tag: none | EasyVPN: 0 ||
Username: shamit.paul | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.153 | Public IP: 106.77.34.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:16 IST Tue Jun 9 2020 | Duration: 1h:15m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 33114701 | Bytes Rx: 20102239 | IP Addr: 10.150.236.153 | Public IP: 106.77.34.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:16 IST Tue Jun 9 2020 | Duration: 1h:15m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 33114701 | Bytes Rx: 20102239 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4507 | Audit Session ID: 0a96cf690119b0005edefec4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4507 | Audit Session ID: 0a96cf690119b0005edefec4 | Security Group Tag: none | EasyVPN: 0 ||
Username: apolekar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.152 | Public IP: 106.220.150.104 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:48 IST Tue Jun 9 2020 | Duration: 1h:14m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 94118122 | Bytes Rx: 25243754 | IP Addr: 10.150.236.152 | Public IP: 106.220.150.104 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:48 IST Tue Jun 9 2020 | Duration: 1h:14m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 94118122 | Bytes Rx: 25243754 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4508 | Audit Session ID: 0a96cf690119c0005edefee4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4508 | Audit Session ID: 0a96cf690119c0005edefee4 | Security Group Tag: none | EasyVPN: 0 ||
Username: jeesharm | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.156 | Public IP: 49.35.115.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:02 IST Tue Jun 9 2020 | Duration: 1h:14m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 51210329 | Bytes Rx: 14516001 | IP Addr: 10.150.236.156 | Public IP: 49.35.115.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:02 IST Tue Jun 9 2020 | Duration: 1h:14m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 51210329 | Bytes Rx: 14516001 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4511 | Audit Session ID: 0a96cf690119f0005edefef2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4511 | Audit Session ID: 0a96cf690119f0005edefef2 | Security Group Tag: none | EasyVPN: 0 ||
Username: umeshs | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.159 | Public IP: 106.209.195.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:11 IST Tue Jun 9 2020 | Duration: 1h:13m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 26350348 | Bytes Rx: 6468859 | IP Addr: 10.150.236.159 | Public IP: 106.209.195.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:11 IST Tue Jun 9 2020 | Duration: 1h:13m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 26350348 | Bytes Rx: 6468859 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4513 | Audit Session ID: 0a96cf69011a10005edeff37 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4513 | Audit Session ID: 0a96cf69011a10005edeff37 | Security Group Tag: none | EasyVPN: 0 ||
Username: pragaval | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.161 | Public IP: 106.220.174.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:42 IST Tue Jun 9 2020 | Duration: 1h:12m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 70731253 | Bytes Rx: 26282749 | IP Addr: 10.150.236.161 | Public IP: 106.220.174.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:42 IST Tue Jun 9 2020 | Duration: 1h:12m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 70731253 | Bytes Rx: 26282749 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4515 | Audit Session ID: 0a96cf69011a30005edeff56 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4515 | Audit Session ID: 0a96cf69011a30005edeff56 | Security Group Tag: none | EasyVPN: 0 ||
Username: SKumar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.162 | Public IP: 182.64.228.150 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:48:28 IST Tue Jun 9 2020 | Duration: 1h:11m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 16049133 | Bytes Rx: 7886838 | IP Addr: 10.150.236.162 | Public IP: 182.64.228.150 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:48:28 IST Tue Jun 9 2020 | Duration: 1h:11m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 16049133 | Bytes Rx: 7886838 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4516 | Audit Session ID: 0a96cf69011a40005edeff84 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4516 | Audit Session ID: 0a96cf69011a40005edeff84 | Security Group Tag: none | EasyVPN: 0 ||
Username: manishma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.163 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:48:42 IST Tue Jun 9 2020 | Duration: 1h:11m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 63426062 | Bytes Rx: 11951070 | IP Addr: 10.150.236.163 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:48:42 IST Tue Jun 9 2020 | Duration: 1h:11m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 63426062 | Bytes Rx: 11951070 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4517 | Audit Session ID: 0a96cf69011a50005edeff92 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4517 | Audit Session ID: 0a96cf69011a50005edeff92 | Security Group Tag: none | EasyVPN: 0 ||
Username: SnehChau | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.164 | Public IP: 1.23.210.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:49:07 IST Tue Jun 9 2020 | Duration: 1h:11m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 39046260 | Bytes Rx: 8775589 | IP Addr: 10.150.236.164 | Public IP: 1.23.210.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:49:07 IST Tue Jun 9 2020 | Duration: 1h:11m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 39046260 | Bytes Rx: 8775589 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4518 | Audit Session ID: 0a96cf69011a60005edeffab | Security Group Tag: none | EasyVPN: 0 |Session ID: 4518 | Audit Session ID: 0a96cf69011a60005edeffab | Security Group Tag: none | EasyVPN: 0 ||
Username: Varuntri | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.166 | Public IP: 42.106.213.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:50:09 IST Tue Jun 9 2020 | Duration: 1h:10m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 244605140 | Bytes Rx: 13557707 | IP Addr: 10.150.236.166 | Public IP: 42.106.213.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:50:09 IST Tue Jun 9 2020 | Duration: 1h:10m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 244605140 | Bytes Rx: 13557707 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4521 | Audit Session ID: 0a96cf69011a90005edeffe9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4521 | Audit Session ID: 0a96cf69011a90005edeffe9 | Security Group Tag: none | EasyVPN: 0 ||
Username: achaugul | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.225 | Public IP: 171.77.130.34 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:51:52 IST Tue Jun 9 2020 | Duration: 1h:08m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 85068373 | Bytes Rx: 30796564 | IP Addr: 10.150.236.225 | Public IP: 171.77.130.34 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:51:52 IST Tue Jun 9 2020 | Duration: 1h:08m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 85068373 | Bytes Rx: 30796564 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4522 | Audit Session ID: 0a96cf69011aa0005edf0050 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4522 | Audit Session ID: 0a96cf69011aa0005edf0050 | Security Group Tag: none | EasyVPN: 0 ||
Username: anarnawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.228 | Public IP: 157.33.145.253 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:52:44 IST Tue Jun 9 2020 | Duration: 1h:07m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 432208420 | Bytes Rx: 60521294 | IP Addr: 10.150.236.228 | Public IP: 157.33.145.253 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:52:44 IST Tue Jun 9 2020 | Duration: 1h:07m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 432208420 | Bytes Rx: 60521294 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4526 | Audit Session ID: 0a96cf69011ae0005edf0084 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4526 | Audit Session ID: 0a96cf69011ae0005edf0084 | Security Group Tag: none | EasyVPN: 0 ||
Username: tawate | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.138 | Public IP: 103.221.72.215 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:52:57 IST Tue Jun 9 2020 | Duration: 1h:07m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 53064156 | Bytes Rx: 8205370 | IP Addr: 10.150.236.138 | Public IP: 103.221.72.215 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:52:57 IST Tue Jun 9 2020 | Duration: 1h:07m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 53064156 | Bytes Rx: 8205370 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4527 | Audit Session ID: 0a96cf69011af0005edf0091 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4527 | Audit Session ID: 0a96cf69011af0005edf0091 | Security Group Tag: none | EasyVPN: 0 ||
Username: simanjar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC15 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:55:03 IST Tue Jun 9 2020 | Duration: 1h:05m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 66576129 | Bytes Rx: 29147573 | IP Addr: 10.150.245.24 | Public IP: 124.66.170.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:55:03 IST Tue Jun 9 2020 | Duration: 1h:05m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 66576129 | Bytes Rx: 29147573 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4530 | Audit Session ID: 0a96cf69011b20005edf010f | Security Group Tag: none | EasyVPN: 0 |Session ID: 4530 | Audit Session ID: 0a96cf69011b20005edf010f | Security Group Tag: none | EasyVPN: 0 ||
Username: ViSakure | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC11 | IP Addr: 10.150.245.20 | Public IP: 137.59.66.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:55:37 IST Tue Jun 9 2020 | Duration: 1h:04m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 34827647 | Bytes Rx: 29155839 | IP Addr: 10.150.245.20 | Public IP: 137.59.66.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:55:37 IST Tue Jun 9 2020 | Duration: 1h:04m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 34827647 | Bytes Rx: 29155839 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4531 | Audit Session ID: 0a96cf69011b30005edf0131 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4531 | Audit Session ID: 0a96cf69011b30005edf0131 | Security Group Tag: none | EasyVPN: 0 ||
Username: samathew | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.160 | Public IP: 103.124.141.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:58:40 IST Tue Jun 9 2020 | Duration: 1h:01m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 146820349 | Bytes Rx: 17226542 | IP Addr: 10.150.236.160 | Public IP: 103.124.141.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:58:40 IST Tue Jun 9 2020 | Duration: 1h:01m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 146820349 | Bytes Rx: 17226542 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4533 | Audit Session ID: 0a96cf69011b50005edf01e8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4533 | Audit Session ID: 0a96cf69011b50005edf01e8 | Security Group Tag: none | EasyVPN: 0 ||
Username: gaurav.jagtap | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.168 | Public IP: 103.203.66.77 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:59:05 IST Tue Jun 9 2020 | Duration: 1h:01m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 72773401 | Bytes Rx: 21006110 | IP Addr: 10.150.236.168 | Public IP: 103.203.66.77 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:59:05 IST Tue Jun 9 2020 | Duration: 1h:01m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 72773401 | Bytes Rx: 21006110 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4534 | Audit Session ID: 0a96cf69011b60005edf0201 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4534 | Audit Session ID: 0a96cf69011b60005edf0201 | Security Group Tag: none | EasyVPN: 0 ||
