sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: OnDeolan | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.144 | Public IP: 49.35.34.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:12 IST Sun Jun 7 2020 | Duration: 0h:38m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 676629043 | Bytes Rx: 26216860 | IP Addr: 10.150.237.144 | Public IP: 49.35.34.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:12 IST Sun Jun 7 2020 | Duration: 0h:38m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 676629043 | Bytes Rx: 26216860 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290947 | Audit Session ID: 0a96cf69470830005edc5ff8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290947 | Audit Session ID: 0a96cf69470830005edc5ff8 | Security Group Tag: none | EasyVPN: 0 ||
Username: mbhole | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.152 | Public IP: 157.33.132.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:13:16 IST Sun Jun 7 2020 | Duration: 0h:28m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 97140046 | Bytes Rx: 17023809 | IP Addr: 10.150.237.152 | Public IP: 157.33.132.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:13:16 IST Sun Jun 7 2020 | Duration: 0h:28m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 97140046 | Bytes Rx: 17023809 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290965 | Audit Session ID: 0a96cf69470950005edc6254 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290965 | Audit Session ID: 0a96cf69470950005edc6254 | Security Group Tag: none | EasyVPN: 0 ||
Username: pphalle | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.151 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:13:17 IST Sun Jun 7 2020 | Duration: 0h:28m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 78613859 | Bytes Rx: 10942325 | IP Addr: 10.150.237.151 | Public IP: 103.251.211.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:13:17 IST Sun Jun 7 2020 | Duration: 0h:28m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 78613859 | Bytes Rx: 10942325 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290966 | Audit Session ID: 0a96cf69470960005edc6255 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290966 | Audit Session ID: 0a96cf69470960005edc6255 | Security Group Tag: none | EasyVPN: 0 ||
Username: vgadi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.153 | Public IP: 157.44.159.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:15:03 IST Sun Jun 7 2020 | Duration: 0h:26m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 12701491 | Bytes Rx: 7111289 | IP Addr: 10.150.237.153 | Public IP: 157.44.159.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:15:03 IST Sun Jun 7 2020 | Duration: 0h:26m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 12701491 | Bytes Rx: 7111289 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290968 | Audit Session ID: 0a96cf69470980005edc62bf | Security Group Tag: none | EasyVPN: 0 |Session ID: 290968 | Audit Session ID: 0a96cf69470980005edc62bf | Security Group Tag: none | EasyVPN: 0 ||
Username: Haroonk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC7 | IP Addr: 10.150.245.16 | Public IP: 103.132.245.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:16:17 IST Sun Jun 7 2020 | Duration: 0h:25m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 7239683 | Bytes Rx: 3647439 | IP Addr: 10.150.245.16 | Public IP: 103.132.245.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:16:17 IST Sun Jun 7 2020 | Duration: 0h:25m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 7239683 | Bytes Rx: 3647439 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290970 | Audit Session ID: 0a96cf694709a0005edc6309 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290970 | Audit Session ID: 0a96cf694709a0005edc6309 | Security Group Tag: none | EasyVPN: 0 ||
Username: ShekShar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.154 | Public IP: 103.49.227.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:02 IST Sun Jun 7 2020 | Duration: 0h:21m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 50255342 | Bytes Rx: 6525283 | IP Addr: 10.150.237.154 | Public IP: 103.49.227.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:02 IST Sun Jun 7 2020 | Duration: 0h:21m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 50255342 | Bytes Rx: 6525283 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290973 | Audit Session ID: 0a96cf694709d0005edc63ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 290973 | Audit Session ID: 0a96cf694709d0005edc63ea | Security Group Tag: none | EasyVPN: 0 ||
Username: bhpal | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.155 | Public IP: 223.180.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:06 IST Sun Jun 7 2020 | Duration: 0h:21m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 16162961 | Bytes Rx: 5728419 | IP Addr: 10.150.237.155 | Public IP: 223.180.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:06 IST Sun Jun 7 2020 | Duration: 0h:21m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 16162961 | Bytes Rx: 5728419 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290974 | Audit Session ID: 0a96cf694709e0005edc63ee | Security Group Tag: none | EasyVPN: 0 |Session ID: 290974 | Audit Session ID: 0a96cf694709e0005edc63ee | Security Group Tag: none | EasyVPN: 0 ||
Username: sujyadav | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.156 | Public IP: 106.193.145.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:36 IST Sun Jun 7 2020 | Duration: 0h:20m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 86884111 | Bytes Rx: 15941870 | IP Addr: 10.150.237.156 | Public IP: 106.193.145.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:36 IST Sun Jun 7 2020 | Duration: 0h:20m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 86884111 | Bytes Rx: 15941870 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290977 | Audit Session ID: 0a96cf69470a10005edc640c | Security Group Tag: none | EasyVPN: 0 |Session ID: 290977 | Audit Session ID: 0a96cf69470a10005edc640c | Security Group Tag: none | EasyVPN: 0 ||
Username: ajekumar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.157 | Public IP: 106.67.3.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:55 IST Sun Jun 7 2020 | Duration: 0h:20m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 15243844 | Bytes Rx: 5802006 | IP Addr: 10.150.237.157 | Public IP: 106.67.3.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:55 IST Sun Jun 7 2020 | Duration: 0h:20m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 15243844 | Bytes Rx: 5802006 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290978 | Audit Session ID: 0a96cf69470a20005edc641f | Security Group Tag: none | EasyVPN: 0 |Session ID: 290978 | Audit Session ID: 0a96cf69470a20005edc641f | Security Group Tag: none | EasyVPN: 0 ||
Username: ManoMish | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.142 | Public IP: 45.119.59.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:21:34 IST Sun Jun 7 2020 | Duration: 0h:19m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 22811895 | Bytes Rx: 4706604 | IP Addr: 10.150.237.142 | Public IP: 45.119.59.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:21:34 IST Sun Jun 7 2020 | Duration: 0h:19m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 22811895 | Bytes Rx: 4706604 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290979 | Audit Session ID: 0a96cf69470a30005edc6446 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290979 | Audit Session ID: 0a96cf69470a30005edc6446 | Security Group Tag: none | EasyVPN: 0 ||
Username: aishinde | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.158 | Public IP: 157.33.164.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:32 IST Sun Jun 7 2020 | Duration: 0h:18m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 24668525 | Bytes Rx: 3932420 | IP Addr: 10.150.237.158 | Public IP: 157.33.164.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:32 IST Sun Jun 7 2020 | Duration: 0h:18m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 24668525 | Bytes Rx: 3932420 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290981 | Audit Session ID: 0a96cf69470a50005edc6480 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290981 | Audit Session ID: 0a96cf69470a50005edc6480 | Security Group Tag: none | EasyVPN: 0 ||
Username: mpande | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.160 | Public IP: 157.33.229.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:45 IST Sun Jun 7 2020 | Duration: 0h:18m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 6564731 | Bytes Rx: 1740039 | IP Addr: 10.150.237.160 | Public IP: 157.33.229.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:45 IST Sun Jun 7 2020 | Duration: 0h:18m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 6564731 | Bytes Rx: 1740039 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290982 | Audit Session ID: 0a96cf69470a60005edc648d | Security Group Tag: none | EasyVPN: 0 |Session ID: 290982 | Audit Session ID: 0a96cf69470a60005edc648d | Security Group Tag: none | EasyVPN: 0 ||
Username: bhagyashri.more | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.162 | Public IP: 157.47.17.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:47 IST Sun Jun 7 2020 | Duration: 0h:18m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 6459455 | Bytes Rx: 4420167 | IP Addr: 10.150.237.162 | Public IP: 157.47.17.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:47 IST Sun Jun 7 2020 | Duration: 0h:18m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 6459455 | Bytes Rx: 4420167 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290983 | Audit Session ID: 0a96cf69470a70005edc648f | Security Group Tag: none | EasyVPN: 0 |Session ID: 290983 | Audit Session ID: 0a96cf69470a70005edc648f | Security Group Tag: none | EasyVPN: 0 ||
Username: KishKumb | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.159 | Public IP: 103.121.153.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:49 IST Sun Jun 7 2020 | Duration: 0h:18m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 18917895 | Bytes Rx: 11805867 | IP Addr: 10.150.237.159 | Public IP: 103.121.153.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:49 IST Sun Jun 7 2020 | Duration: 0h:18m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 18917895 | Bytes Rx: 11805867 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290984 | Audit Session ID: 0a96cf69470a80005edc6491 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290984 | Audit Session ID: 0a96cf69470a80005edc6491 | Security Group Tag: none | EasyVPN: 0 ||
Username: smahapur | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.161 | Public IP: 42.106.192.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:56 IST Sun Jun 7 2020 | Duration: 0h:18m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 22213987 | Bytes Rx: 4847585 | IP Addr: 10.150.237.161 | Public IP: 42.106.192.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:56 IST Sun Jun 7 2020 | Duration: 0h:18m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 22213987 | Bytes Rx: 4847585 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290985 | Audit Session ID: 0a96cf69470a90005edc6498 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290985 | Audit Session ID: 0a96cf69470a90005edc6498 | Security Group Tag: none | EasyVPN: 0 ||
Username: surbhale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC10 | IP Addr: 10.150.245.245 | Public IP: 106.210.246.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:14 IST Sun Jun 7 2020 | Duration: 0h:18m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 10256699 | Bytes Rx: 5076959 | IP Addr: 10.150.245.245 | Public IP: 106.210.246.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:14 IST Sun Jun 7 2020 | Duration: 0h:18m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 10256699 | Bytes Rx: 5076959 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290987 | Audit Session ID: 0a96cf69470ab0005edc64aa | Security Group Tag: none | EasyVPN: 0 |Session ID: 290987 | Audit Session ID: 0a96cf69470ab0005edc64aa | Security Group Tag: none | EasyVPN: 0 ||
Username: pharibas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.143 | Public IP: 157.50.84.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:46 IST Sun Jun 7 2020 | Duration: 0h:17m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 10309802 | Bytes Rx: 2293059 | IP Addr: 10.150.237.143 | Public IP: 157.50.84.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:46 IST Sun Jun 7 2020 | Duration: 0h:17m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 10309802 | Bytes Rx: 2293059 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290989 | Audit Session ID: 0a96cf69470ad0005edc64ca | Security Group Tag: none | EasyVPN: 0 |Session ID: 290989 | Audit Session ID: 0a96cf69470ad0005edc64ca | Security Group Tag: none | EasyVPN: 0 ||
Username: shivyada | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.163 | Public IP: 103.121.153.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:15 IST Sun Jun 7 2020 | Duration: 0h:17m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 100946963 | Bytes Rx: 9779700 | IP Addr: 10.150.237.163 | Public IP: 103.121.153.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:15 IST Sun Jun 7 2020 | Duration: 0h:17m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 100946963 | Bytes Rx: 9779700 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290990 | Audit Session ID: 0a96cf69470ae0005edc64e7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290990 | Audit Session ID: 0a96cf69470ae0005edc64e7 | Security Group Tag: none | EasyVPN: 0 ||
Username: bmiska | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.164 | Public IP: 106.193.131.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:35 IST Sun Jun 7 2020 | Duration: 0h:16m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 664231 | Bytes Rx: 424983 | IP Addr: 10.150.237.164 | Public IP: 106.193.131.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:35 IST Sun Jun 7 2020 | Duration: 0h:16m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 664231 | Bytes Rx: 424983 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290991 | Audit Session ID: 0a96cf69470af0005edc64fb | Security Group Tag: none | EasyVPN: 0 |Session ID: 290991 | Audit Session ID: 0a96cf69470af0005edc64fb | Security Group Tag: none | EasyVPN: 0 ||
Username: AKaware | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.165 | Public IP: 103.97.104.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:53 IST Sun Jun 7 2020 | Duration: 0h:16m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 36370661 | Bytes Rx: 4397911 | IP Addr: 10.150.237.165 | Public IP: 103.97.104.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:53 IST Sun Jun 7 2020 | Duration: 0h:16m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 36370661 | Bytes Rx: 4397911 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290992 | Audit Session ID: 0a96cf69470b00005edc650d | Security Group Tag: none | EasyVPN: 0 |Session ID: 290992 | Audit Session ID: 0a96cf69470b00005edc650d | Security Group Tag: none | EasyVPN: 0 ||
Username: abnikam | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.166 | Public IP: 103.252.52.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:25:01 IST Sun Jun 7 2020 | Duration: 0h:16m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 47004943 | Bytes Rx: 9236994 | IP Addr: 10.150.237.166 | Public IP: 103.252.52.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:25:01 IST Sun Jun 7 2020 | Duration: 0h:16m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 47004943 | Bytes Rx: 9236994 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290993 | Audit Session ID: 0a96cf69470b10005edc6515 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290993 | Audit Session ID: 0a96cf69470b10005edc6515 | Security Group Tag: none | EasyVPN: 0 ||
