sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:25 IST Mon Jun 8 2020 | Duration: 1d 0h:36m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 776095322 | Bytes Rx: 167129486 | IP Addr: 10.149.232.12 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:25 IST Mon Jun 8 2020 | Duration: 1d 0h:36m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 776095322 | Bytes Rx: 167129486 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138688 | Audit Session ID: 0a95072a21dc00005eddb635 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138688 | Audit Session ID: 0a95072a21dc00005eddb635 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgowda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.210 | Public IP: 223.186.111.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:40:38 IST Tue Jun 9 2020 | Duration: 1h:19m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 76990457 | Bytes Rx: 13219087 | IP Addr: 10.149.233.210 | Public IP: 223.186.111.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:40:38 IST Tue Jun 9 2020 | Duration: 1h:19m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 76990457 | Bytes Rx: 13219087 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141178 | Audit Session ID: 0a95072a2277a0005edefdae | Security Group Tag: none | EasyVPN: 0 |Session ID: 141178 | Audit Session ID: 0a95072a2277a0005edefdae | Security Group Tag: none | EasyVPN: 0 ||
Username: goprasad | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.10 | Public IP: 157.44.229.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:41:35 IST Tue Jun 9 2020 | Duration: 1h:18m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 18510416 | Bytes Rx: 7327325 | IP Addr: 10.149.233.10 | Public IP: 157.44.229.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:41:35 IST Tue Jun 9 2020 | Duration: 1h:18m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 18510416 | Bytes Rx: 7327325 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141180 | Audit Session ID: 0a95072a2277c0005edefde7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141180 | Audit Session ID: 0a95072a2277c0005edefde7 | Security Group Tag: none | EasyVPN: 0 ||
Username: Rashadar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.15 | Public IP: 137.97.149.41 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:41:39 IST Tue Jun 9 2020 | Duration: 1h:18m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 50203050 | Bytes Rx: 13544160 | IP Addr: 10.149.233.15 | Public IP: 137.97.149.41 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:41:39 IST Tue Jun 9 2020 | Duration: 1h:18m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 50203050 | Bytes Rx: 13544160 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141182 | Audit Session ID: 0a95072a2277e0005edefdeb | Security Group Tag: none | EasyVPN: 0 |Session ID: 141182 | Audit Session ID: 0a95072a2277e0005edefdeb | Security Group Tag: none | EasyVPN: 0 ||
Username: bkrishna | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.143 | Public IP: 42.111.164.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:41:54 IST Tue Jun 9 2020 | Duration: 1h:18m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 89439563 | Bytes Rx: 22870648 | IP Addr: 10.149.232.143 | Public IP: 42.111.164.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:41:54 IST Tue Jun 9 2020 | Duration: 1h:18m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 89439563 | Bytes Rx: 22870648 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141185 | Audit Session ID: 0a95072a227810005edefdfa | Security Group Tag: none | EasyVPN: 0 |Session ID: 141185 | Audit Session ID: 0a95072a227810005edefdfa | Security Group Tag: none | EasyVPN: 0 ||
Username: SGugulot | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.144 | Public IP: 106.208.127.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:42:37 IST Tue Jun 9 2020 | Duration: 1h:17m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 87253014 | Bytes Rx: 26397749 | IP Addr: 10.149.232.144 | Public IP: 106.208.127.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:42:37 IST Tue Jun 9 2020 | Duration: 1h:17m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 87253014 | Bytes Rx: 26397749 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141186 | Audit Session ID: 0a95072a227820005edefe25 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141186 | Audit Session ID: 0a95072a227820005edefe25 | Security Group Tag: none | EasyVPN: 0 ||
Username: Bvelayut | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.146 | Public IP: 183.83.155.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:43:57 IST Tue Jun 9 2020 | Duration: 1h:16m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 35198002 | Bytes Rx: 7158616 | IP Addr: 10.149.232.146 | Public IP: 183.83.155.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:43:57 IST Tue Jun 9 2020 | Duration: 1h:16m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 35198002 | Bytes Rx: 7158616 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141188 | Audit Session ID: 0a95072a227840005edefe75 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141188 | Audit Session ID: 0a95072a227840005edefe75 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsengupt | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.147 | Public IP: 49.37.200.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:34 IST Tue Jun 9 2020 | Duration: 1h:15m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 88951415 | Bytes Rx: 47015203 | IP Addr: 10.149.232.147 | Public IP: 49.37.200.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:34 IST Tue Jun 9 2020 | Duration: 1h:15m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 88951415 | Bytes Rx: 47015203 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141189 | Audit Session ID: 0a95072a227850005edefe9a | Security Group Tag: none | EasyVPN: 0 |Session ID: 141189 | Audit Session ID: 0a95072a227850005edefe9a | Security Group Tag: none | EasyVPN: 0 ||
Username: DAgrahar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.149 | Public IP: 27.7.108.189 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:45 IST Tue Jun 9 2020 | Duration: 1h:15m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 6454464 | Bytes Rx: 4184309 | IP Addr: 10.149.232.149 | Public IP: 27.7.108.189 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:45 IST Tue Jun 9 2020 | Duration: 1h:15m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 6454464 | Bytes Rx: 4184309 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141190 | Audit Session ID: 0a95072a227860005edefea5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141190 | Audit Session ID: 0a95072a227860005edefea5 | Security Group Tag: none | EasyVPN: 0 ||
Username: dravikum | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.148 | Public IP: 183.83.154.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:57 IST Tue Jun 9 2020 | Duration: 1h:15m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 17458639 | Bytes Rx: 7737700 | IP Addr: 10.149.232.148 | Public IP: 183.83.154.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:44:57 IST Tue Jun 9 2020 | Duration: 1h:15m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 17458639 | Bytes Rx: 7737700 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141191 | Audit Session ID: 0a95072a227870005edefeb1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141191 | Audit Session ID: 0a95072a227870005edefeb1 | Security Group Tag: none | EasyVPN: 0 ||
Username: hasrat.jamal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.150 | Public IP: 42.110.153.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:34 IST Tue Jun 9 2020 | Duration: 1h:14m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 37364198 | Bytes Rx: 8150783 | IP Addr: 10.149.232.150 | Public IP: 42.110.153.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:34 IST Tue Jun 9 2020 | Duration: 1h:14m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 37364198 | Bytes Rx: 8150783 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141192 | Audit Session ID: 0a95072a227880005edefed6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141192 | Audit Session ID: 0a95072a227880005edefed6 | Security Group Tag: none | EasyVPN: 0 ||
Username: faizal.karim | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.37 | Public IP: 182.69.206.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:41 IST Tue Jun 9 2020 | Duration: 1h:13m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 61796025 | Bytes Rx: 17578428 | IP Addr: 10.149.232.37 | Public IP: 182.69.206.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:41 IST Tue Jun 9 2020 | Duration: 1h:13m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 61796025 | Bytes Rx: 17578428 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141195 | Audit Session ID: 0a95072a2278b0005edeff19 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141195 | Audit Session ID: 0a95072a2278b0005edeff19 | Security Group Tag: none | EasyVPN: 0 ||
Username: gdevadig | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.40 | Public IP: 157.49.226.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:58 IST Tue Jun 9 2020 | Duration: 1h:13m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 25518292 | Bytes Rx: 4441248 | IP Addr: 10.149.232.40 | Public IP: 157.49.226.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:58 IST Tue Jun 9 2020 | Duration: 1h:13m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 25518292 | Bytes Rx: 4441248 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141196 | Audit Session ID: 0a95072a2278c0005edeff2a | Security Group Tag: none | EasyVPN: 0 |Session ID: 141196 | Audit Session ID: 0a95072a2278c0005edeff2a | Security Group Tag: none | EasyVPN: 0 ||
Username: psalokhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.41 | Public IP: 106.193.227.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:16 IST Tue Jun 9 2020 | Duration: 1h:13m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 66719259 | Bytes Rx: 9594895 | IP Addr: 10.149.232.41 | Public IP: 106.193.227.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:16 IST Tue Jun 9 2020 | Duration: 1h:13m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 66719259 | Bytes Rx: 9594895 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141197 | Audit Session ID: 0a95072a2278d0005edeff3c | Security Group Tag: none | EasyVPN: 0 |Session ID: 141197 | Audit Session ID: 0a95072a2278d0005edeff3c | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.43 | Public IP: 103.117.219.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:45 IST Tue Jun 9 2020 | Duration: 1h:12m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 76505822 | Bytes Rx: 39912139 | IP Addr: 10.149.232.43 | Public IP: 103.117.219.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:45 IST Tue Jun 9 2020 | Duration: 1h:12m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 76505822 | Bytes Rx: 39912139 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141199 | Audit Session ID: 0a95072a2278f0005edeff59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141199 | Audit Session ID: 0a95072a2278f0005edeff59 | Security Group Tag: none | EasyVPN: 0 ||
Username: jsakkara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.46 | Public IP: 106.198.84.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:49:12 IST Tue Jun 9 2020 | Duration: 1h:11m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 308004463 | Bytes Rx: 19337188 | IP Addr: 10.149.232.46 | Public IP: 106.198.84.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:49:12 IST Tue Jun 9 2020 | Duration: 1h:11m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 308004463 | Bytes Rx: 19337188 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141202 | Audit Session ID: 0a95072a227920005edeffb0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141202 | Audit Session ID: 0a95072a227920005edeffb0 | Security Group Tag: none | EasyVPN: 0 ||
Username: APrakash | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.145 | Public IP: 157.46.44.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:49:39 IST Tue Jun 9 2020 | Duration: 1h:10m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 98639544 | Bytes Rx: 19970564 | IP Addr: 10.149.232.145 | Public IP: 157.46.44.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:49:39 IST Tue Jun 9 2020 | Duration: 1h:10m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 98639544 | Bytes Rx: 19970564 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141204 | Audit Session ID: 0a95072a227940005edeffcb | Security Group Tag: none | EasyVPN: 0 |Session ID: 141204 | Audit Session ID: 0a95072a227940005edeffcb | Security Group Tag: none | EasyVPN: 0 ||
Username: srekhate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.153 | Public IP: 223.189.56.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:51:02 IST Tue Jun 9 2020 | Duration: 1h:09m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 67478032 | Bytes Rx: 20596321 | IP Addr: 10.149.232.153 | Public IP: 223.189.56.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:51:02 IST Tue Jun 9 2020 | Duration: 1h:09m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 67478032 | Bytes Rx: 20596321 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141206 | Audit Session ID: 0a95072a227960005edf001e | Security Group Tag: none | EasyVPN: 0 |Session ID: 141206 | Audit Session ID: 0a95072a227960005edf001e | Security Group Tag: none | EasyVPN: 0 ||
Username: vathomas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 103.98.63.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:51:27 IST Tue Jun 9 2020 | Duration: 1h:08m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 648691294 | Bytes Rx: 22898276 | IP Addr: 10.149.232.154 | Public IP: 103.98.63.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:51:27 IST Tue Jun 9 2020 | Duration: 1h:08m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 648691294 | Bytes Rx: 22898276 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141207 | Audit Session ID: 0a95072a227970005edf0037 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141207 | Audit Session ID: 0a95072a227970005edf0037 | Security Group Tag: none | EasyVPN: 0 ||
Username: Chinmdes | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.155 | Public IP: 27.7.101.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:51:33 IST Tue Jun 9 2020 | Duration: 1h:08m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 37504242 | Bytes Rx: 6557236 | IP Addr: 10.149.232.155 | Public IP: 27.7.101.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:51:33 IST Tue Jun 9 2020 | Duration: 1h:08m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 37504242 | Bytes Rx: 6557236 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141208 | Audit Session ID: 0a95072a227980005edf003d | Security Group Tag: none | EasyVPN: 0 |Session ID: 141208 | Audit Session ID: 0a95072a227980005edf003d | Security Group Tag: none | EasyVPN: 0 ||
Username: Shambhunath.yadav | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.156 | Public IP: 103.226.87.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:52:29 IST Tue Jun 9 2020 | Duration: 1h:07m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 51031898 | Bytes Rx: 17915559 | IP Addr: 10.149.232.156 | Public IP: 103.226.87.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:52:29 IST Tue Jun 9 2020 | Duration: 1h:07m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 51031898 | Bytes Rx: 17915559 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141209 | Audit Session ID: 0a95072a227990005edf0075 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141209 | Audit Session ID: 0a95072a227990005edf0075 | Security Group Tag: none | EasyVPN: 0 ||
