sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdarpall | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 1d 16h:37m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 818616067 | Bytes Rx: 377160506 | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 1d 16h:37m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 818616067 | Bytes Rx: 377160506 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 |Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 ||
Username: absaashe | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.238 | Public IP: 121.46.119.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:37:42 IST Fri Jun 19 2020 | Duration: 10h:22m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1904877686 | Bytes Rx: 174563387 | IP Addr: 10.150.237.238 | Public IP: 121.46.119.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:37:42 IST Fri Jun 19 2020 | Duration: 10h:22m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1904877686 | Bytes Rx: 174563387 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40835 | Audit Session ID: 0a96cf6909f830005eecd4be | Security Group Tag: none | EasyVPN: 0 |Session ID: 40835 | Audit Session ID: 0a96cf6909f830005eecd4be | Security Group Tag: none | EasyVPN: 0 ||
Username: PSKanawa | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.205 | Public IP: 157.33.170.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:41:20 IST Fri Jun 19 2020 | Duration: 10h:18m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 1474368474 | Bytes Rx: 168239441 | IP Addr: 10.150.236.205 | Public IP: 157.33.170.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:41:20 IST Fri Jun 19 2020 | Duration: 10h:18m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 1474368474 | Bytes Rx: 168239441 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40845 | Audit Session ID: 0a96cf6909f8d0005eecd598 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40845 | Audit Session ID: 0a96cf6909f8d0005eecd598 | Security Group Tag: none | EasyVPN: 0 ||
Username: SYkharat | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.213 | Public IP: 49.35.60.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:41:24 IST Fri Jun 19 2020 | Duration: 10h:18m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 1644242465 | Bytes Rx: 191228613 | IP Addr: 10.150.236.213 | Public IP: 49.35.60.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:41:24 IST Fri Jun 19 2020 | Duration: 10h:18m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 1644242465 | Bytes Rx: 191228613 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40846 | Audit Session ID: 0a96cf6909f8e0005eecd59c | Security Group Tag: none | EasyVPN: 0 |Session ID: 40846 | Audit Session ID: 0a96cf6909f8e0005eecd59c | Security Group Tag: none | EasyVPN: 0 ||
Username: rahurahu | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.233 | Public IP: 106.207.0.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:50:42 IST Fri Jun 19 2020 | Duration: 10h:09m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 219274672 | Bytes Rx: 48290081 | IP Addr: 10.150.236.233 | Public IP: 106.207.0.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:50:42 IST Fri Jun 19 2020 | Duration: 10h:09m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 219274672 | Bytes Rx: 48290081 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40870 | Audit Session ID: 0a96cf6909fa60005eecd7ca | Security Group Tag: none | EasyVPN: 0 |Session ID: 40870 | Audit Session ID: 0a96cf6909fa60005eecd7ca | Security Group Tag: none | EasyVPN: 0 ||
Username: bipsingh | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.207 | Public IP: 157.33.135.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:53:06 IST Fri Jun 19 2020 | Duration: 10h:07m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 779771603 | Bytes Rx: 114648581 | IP Addr: 10.150.237.207 | Public IP: 157.33.135.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:53:06 IST Fri Jun 19 2020 | Duration: 10h:07m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 779771603 | Bytes Rx: 114648581 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40879 | Audit Session ID: 0a96cf6909faf0005eecd85a | Security Group Tag: none | EasyVPN: 0 |Session ID: 40879 | Audit Session ID: 0a96cf6909faf0005eecd85a | Security Group Tag: none | EasyVPN: 0 ||
Username: visparde | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.139 | Public IP: 157.33.180.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:31 IST Fri Jun 19 2020 | Duration: 9h:57m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 2630644105 | Bytes Rx: 252261089 | IP Addr: 10.150.237.139 | Public IP: 157.33.180.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:31 IST Fri Jun 19 2020 | Duration: 9h:57m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 2630644105 | Bytes Rx: 252261089 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40902 | Audit Session ID: 0a96cf6909fc60005eecda8f | Security Group Tag: none | EasyVPN: 0 |Session ID: 40902 | Audit Session ID: 0a96cf6909fc60005eecda8f | Security Group Tag: none | EasyVPN: 0 ||
Username: PKulkarn | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.161 | Public IP: 103.132.244.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:54 IST Fri Jun 19 2020 | Duration: 9h:57m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 990816042 | Bytes Rx: 122000382 | IP Addr: 10.150.237.161 | Public IP: 103.132.244.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:54 IST Fri Jun 19 2020 | Duration: 9h:57m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 990816042 | Bytes Rx: 122000382 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40907 | Audit Session ID: 0a96cf6909fcb0005eecdaa6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40907 | Audit Session ID: 0a96cf6909fcb0005eecdaa6 | Security Group Tag: none | EasyVPN: 0 ||
Username: sutighil | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.211 | Public IP: 157.33.181.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:04:25 IST Fri Jun 19 2020 | Duration: 9h:55m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1337615148 | Bytes Rx: 162929957 | IP Addr: 10.150.236.211 | Public IP: 157.33.181.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:04:25 IST Fri Jun 19 2020 | Duration: 9h:55m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1337615148 | Bytes Rx: 162929957 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40911 | Audit Session ID: 0a96cf6909fcf0005eecdb01 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40911 | Audit Session ID: 0a96cf6909fcf0005eecdb01 | Security Group Tag: none | EasyVPN: 0 ||
Username: sahilpar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.208 | Public IP: 103.57.255.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:57 IST Fri Jun 19 2020 | Duration: 9h:53m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1105181377 | Bytes Rx: 127468994 | IP Addr: 10.150.237.208 | Public IP: 103.57.255.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:57 IST Fri Jun 19 2020 | Duration: 9h:53m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1105181377 | Bytes Rx: 127468994 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40923 | Audit Session ID: 0a96cf6909fdb0005eecdb99 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40923 | Audit Session ID: 0a96cf6909fdb0005eecdb99 | Security Group Tag: none | EasyVPN: 0 ||
Username: mjaiswal | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.214 | Public IP: 106.220.92.116 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:07:05 IST Fri Jun 19 2020 | Duration: 9h:53m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 1214917245 | Bytes Rx: 179324938 | IP Addr: 10.150.237.214 | Public IP: 106.220.92.116 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:07:05 IST Fri Jun 19 2020 | Duration: 9h:53m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 1214917245 | Bytes Rx: 179324938 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40924 | Audit Session ID: 0a96cf6909fdc0005eecdba1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40924 | Audit Session ID: 0a96cf6909fdc0005eecdba1 | Security Group Tag: none | EasyVPN: 0 ||
Username: KapPatil | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.220 | Public IP: 103.97.104.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:07:22 IST Fri Jun 19 2020 | Duration: 9h:52m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1488388710 | Bytes Rx: 496374019 | IP Addr: 10.150.237.220 | Public IP: 103.97.104.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:07:22 IST Fri Jun 19 2020 | Duration: 9h:52m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1488388710 | Bytes Rx: 496374019 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40926 | Audit Session ID: 0a96cf6909fde0005eecdbb2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40926 | Audit Session ID: 0a96cf6909fde0005eecdbb2 | Security Group Tag: none | EasyVPN: 0 ||
Username: ramveers | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.162 | Public IP: 103.195.202.178 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:08:47 IST Fri Jun 19 2020 | Duration: 9h:51m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 824772021 | Bytes Rx: 430414731 | IP Addr: 10.150.237.162 | Public IP: 103.195.202.178 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:08:47 IST Fri Jun 19 2020 | Duration: 9h:51m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 824772021 | Bytes Rx: 430414731 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40934 | Audit Session ID: 0a96cf6909fe60005eecdc07 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40934 | Audit Session ID: 0a96cf6909fe60005eecdc07 | Security Group Tag: none | EasyVPN: 0 ||
Username: vkhavale | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.84 | Public IP: 103.203.62.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:08 IST Fri Jun 19 2020 | Duration: 9h:50m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 385821536 | Bytes Rx: 129648165 | IP Addr: 10.150.236.84 | Public IP: 103.203.62.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:08 IST Fri Jun 19 2020 | Duration: 9h:50m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 385821536 | Bytes Rx: 129648165 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40940 | Audit Session ID: 0a96cf6909fec0005eecdc58 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40940 | Audit Session ID: 0a96cf6909fec0005eecdc58 | Security Group Tag: none | EasyVPN: 0 ||
Username: PraTatte | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.191 | Public IP: 42.111.144.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:35 IST Fri Jun 19 2020 | Duration: 9h:47m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 964783339 | Bytes Rx: 163210394 | IP Addr: 10.150.236.191 | Public IP: 42.111.144.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:35 IST Fri Jun 19 2020 | Duration: 9h:47m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 964783339 | Bytes Rx: 163210394 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40950 | Audit Session ID: 0a96cf6909ff60005eecdceb | Security Group Tag: none | EasyVPN: 0 |Session ID: 40950 | Audit Session ID: 0a96cf6909ff60005eecdceb | Security Group Tag: none | EasyVPN: 0 ||
Username: piywasni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.192 | Public IP: 157.47.0.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:47 IST Fri Jun 19 2020 | Duration: 9h:47m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 600152468 | Bytes Rx: 67929994 | IP Addr: 10.150.236.192 | Public IP: 157.47.0.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:12:47 IST Fri Jun 19 2020 | Duration: 9h:47m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 600152468 | Bytes Rx: 67929994 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40951 | Audit Session ID: 0a96cf6909ff70005eecdcf7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40951 | Audit Session ID: 0a96cf6909ff70005eecdcf7 | Security Group Tag: none | EasyVPN: 0 ||
Username: SapnaSha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.63 | Public IP: 14.102.118.130 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:13:09 IST Fri Jun 19 2020 | Duration: 9h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2260081725 | Bytes Rx: 394540866 | IP Addr: 10.150.237.63 | Public IP: 14.102.118.130 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:13:09 IST Fri Jun 19 2020 | Duration: 9h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2260081725 | Bytes Rx: 394540866 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40952 | Audit Session ID: 0a96cf6909ff80005eecdd0d | Security Group Tag: none | EasyVPN: 0 |Session ID: 40952 | Audit Session ID: 0a96cf6909ff80005eecdd0d | Security Group Tag: none | EasyVPN: 0 ||
Username: sagdeshm | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.92 | Public IP: 49.35.50.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:34:23 IST Fri Jun 19 2020 | Duration: 9h:25m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1025220651 | Bytes Rx: 90598103 | IP Addr: 10.150.236.92 | Public IP: 49.35.50.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:34:23 IST Fri Jun 19 2020 | Duration: 9h:25m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1025220651 | Bytes Rx: 90598103 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40998 | Audit Session ID: 0a96cf690a0260005eece207 | Security Group Tag: none | EasyVPN: 0 |Session ID: 40998 | Audit Session ID: 0a96cf690a0260005eece207 | Security Group Tag: none | EasyVPN: 0 ||
Username: atulchir | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.207 | Public IP: 106.67.171.138 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:39:57 IST Fri Jun 19 2020 | Duration: 9h:20m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 177687007 | Bytes Rx: 77512824 | IP Addr: 10.150.236.207 | Public IP: 106.67.171.138 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:39:57 IST Fri Jun 19 2020 | Duration: 9h:20m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 177687007 | Bytes Rx: 77512824 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 41010 | Audit Session ID: 0a96cf690a0320005eece355 | Security Group Tag: none | EasyVPN: 0 |Session ID: 41010 | Audit Session ID: 0a96cf690a0320005eece355 | Security Group Tag: none | EasyVPN: 0 ||
Username: sosonawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.60 | Public IP: 103.207.149.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:57:48 IST Fri Jun 19 2020 | Duration: 9h:02m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 271859630 | Bytes Rx: 65007495 | IP Addr: 10.150.237.60 | Public IP: 103.207.149.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:57:48 IST Fri Jun 19 2020 | Duration: 9h:02m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 271859630 | Bytes Rx: 65007495 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 41038 | Audit Session ID: 0a96cf690a04e0005eece784 | Security Group Tag: none | EasyVPN: 0 |Session ID: 41038 | Audit Session ID: 0a96cf690a04e0005eece784 | Security Group Tag: none | EasyVPN: 0 ||
Username: paprasad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.36 | Public IP: 106.220.173.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:05:13 IST Fri Jun 19 2020 | Duration: 8h:55m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1576909672 | Bytes Rx: 147727928 | IP Addr: 10.150.237.36 | Public IP: 106.220.173.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:05:13 IST Fri Jun 19 2020 | Duration: 8h:55m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1576909672 | Bytes Rx: 147727928 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 41055 | Audit Session ID: 0a96cf690a05f0005eece941 | Security Group Tag: none | EasyVPN: 0 |Session ID: 41055 | Audit Session ID: 0a96cf690a05f0005eece941 | Security Group Tag: none | EasyVPN: 0 ||
