sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 15h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3901720732 | Bytes Rx: 226175323 | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 15h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3901720732 | Bytes Rx: 226175323 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 |Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 ||
Username: lvajja | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.122 | Public IP: 160.238.74.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:23:19 IST Mon Jul 20 2020 | Duration: 4h:36m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 295160144 | Bytes Rx: 95925566 | IP Addr: 10.149.232.122 | Public IP: 160.238.74.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:23:19 IST Mon Jul 20 2020 | Duration: 4h:36m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 295160144 | Bytes Rx: 95925566 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15164 | Audit Session ID: 0a95072a03b3c0005f14eaff | Security Group Tag: none | EasyVPN: 0 |Session ID: 15164 | Audit Session ID: 0a95072a03b3c0005f14eaff | Security Group Tag: none | EasyVPN: 0 ||
Username: goprasad | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.123 | Public IP: 157.48.57.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:24:04 IST Mon Jul 20 2020 | Duration: 4h:36m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 171171960 | Bytes Rx: 47568187 | IP Addr: 10.149.232.123 | Public IP: 157.48.57.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:24:04 IST Mon Jul 20 2020 | Duration: 4h:36m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 171171960 | Bytes Rx: 47568187 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15165 | Audit Session ID: 0a95072a03b3d0005f14eb2c | Security Group Tag: none | EasyVPN: 0 |Session ID: 15165 | Audit Session ID: 0a95072a03b3d0005f14eb2c | Security Group Tag: none | EasyVPN: 0 ||
Username: AlagChan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.126 | Public IP: 157.50.194.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:57 IST Mon Jul 20 2020 | Duration: 4h:22m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 60223388 | Bytes Rx: 54713872 | IP Addr: 10.149.232.126 | Public IP: 157.50.194.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:57 IST Mon Jul 20 2020 | Duration: 4h:22m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 60223388 | Bytes Rx: 54713872 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15169 | Audit Session ID: 0a95072a03b410005f14ee6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 15169 | Audit Session ID: 0a95072a03b410005f14ee6d | Security Group Tag: none | EasyVPN: 0 ||
Username: yamunat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.129 | Public IP: 106.203.84.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:37 IST Mon Jul 20 2020 | Duration: 4h:21m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 95923009 | Bytes Rx: 49220164 | IP Addr: 10.149.232.129 | Public IP: 106.203.84.207 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:37 IST Mon Jul 20 2020 | Duration: 4h:21m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 95923009 | Bytes Rx: 49220164 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15171 | Audit Session ID: 0a95072a03b430005f14ee95 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15171 | Audit Session ID: 0a95072a03b430005f14ee95 | Security Group Tag: none | EasyVPN: 0 ||
Username: MARIMUTK | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.128 | Public IP: 157.50.84.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:07 IST Mon Jul 20 2020 | Duration: 4h:21m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 543518477 | Bytes Rx: 118434551 | IP Addr: 10.149.232.128 | Public IP: 157.50.84.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:07 IST Mon Jul 20 2020 | Duration: 4h:21m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 543518477 | Bytes Rx: 118434551 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15172 | Audit Session ID: 0a95072a03b440005f14eeb3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15172 | Audit Session ID: 0a95072a03b440005f14eeb3 | Security Group Tag: none | EasyVPN: 0 ||
Username: hmani | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.130 | Public IP: 157.50.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:44 IST Mon Jul 20 2020 | Duration: 4h:20m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 420122719 | Bytes Rx: 92777049 | IP Addr: 10.149.232.130 | Public IP: 157.50.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:44 IST Mon Jul 20 2020 | Duration: 4h:20m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 420122719 | Bytes Rx: 92777049 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15173 | Audit Session ID: 0a95072a03b450005f14eed8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15173 | Audit Session ID: 0a95072a03b450005f14eed8 | Security Group Tag: none | EasyVPN: 0 ||
Username: ATenniso | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.132 | Public IP: 182.65.211.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:30 IST Mon Jul 20 2020 | Duration: 4h:19m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 83796809 | Bytes Rx: 39261419 | IP Addr: 10.149.232.132 | Public IP: 182.65.211.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:30 IST Mon Jul 20 2020 | Duration: 4h:19m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 83796809 | Bytes Rx: 39261419 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15175 | Audit Session ID: 0a95072a03b470005f14ef06 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15175 | Audit Session ID: 0a95072a03b470005f14ef06 | Security Group Tag: none | EasyVPN: 0 ||
Username: shimacha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.125 | Public IP: 157.48.205.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:58 IST Mon Jul 20 2020 | Duration: 4h:11m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 306845855 | Bytes Rx: 74333975 | IP Addr: 10.149.232.125 | Public IP: 157.48.205.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:58 IST Mon Jul 20 2020 | Duration: 4h:11m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 306845855 | Bytes Rx: 74333975 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15178 | Audit Session ID: 0a95072a03b4a0005f14f102 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15178 | Audit Session ID: 0a95072a03b4a0005f14f102 | Security Group Tag: none | EasyVPN: 0 ||
Username: SuryTrip | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.133 | Public IP: 103.84.81.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:15 IST Mon Jul 20 2020 | Duration: 4h:10m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 236801156 | Bytes Rx: 103555773 | IP Addr: 10.149.232.133 | Public IP: 103.84.81.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:15 IST Mon Jul 20 2020 | Duration: 4h:10m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 236801156 | Bytes Rx: 103555773 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15179 | Audit Session ID: 0a95072a03b4b0005f14f113 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15179 | Audit Session ID: 0a95072a03b4b0005f14f113 | Security Group Tag: none | EasyVPN: 0 ||
Username: PChikane | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.119 | Public IP: 103.97.104.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:57 IST Mon Jul 20 2020 | Duration: 4h:02m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 107112582 | Bytes Rx: 40663511 | IP Addr: 10.149.232.119 | Public IP: 103.97.104.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:57 IST Mon Jul 20 2020 | Duration: 4h:02m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 107112582 | Bytes Rx: 40663511 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15180 | Audit Session ID: 0a95072a03b4c0005f14f31d | Security Group Tag: none | EasyVPN: 0 |Session ID: 15180 | Audit Session ID: 0a95072a03b4c0005f14f31d | Security Group Tag: none | EasyVPN: 0 ||
Username: DhaiMane | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.199 | Public IP: 106.193.128.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:07 IST Mon Jul 20 2020 | Duration: 3h:55m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 383547839 | Bytes Rx: 74037998 | IP Addr: 10.149.232.199 | Public IP: 106.193.128.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:07 IST Mon Jul 20 2020 | Duration: 3h:55m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 383547839 | Bytes Rx: 74037998 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15182 | Audit Session ID: 0a95072a03b4e0005f14f4cb | Security Group Tag: none | EasyVPN: 0 |Session ID: 15182 | Audit Session ID: 0a95072a03b4e0005f14f4cb | Security Group Tag: none | EasyVPN: 0 ||
